Timestep, S, V, S+V, I+VI, R, I, VI
118, 145647, 24719, 198220, 1780, 27854, 1534, 246
119, 144718, 25036, 198184, 1816, 28430, 1566, 250
120, 143828, 25338, 198199, 1801, 29033, 1546, 255
121, 142892, 25621, 198147, 1853, 29634, 1558, 295
122, 141977, 25920, 198143, 1857, 30246, 1552, 305
123, 141074, 26203, 198111, 1889, 30834, 1565, 324
124, 140113, 26500, 198100, 1900, 31487, 1592, 308
125, 139151, 26805, 198059, 1941, 32103, 1632, 309
126, 138183, 27089, 197995, 2005, 32723, 1702, 303
127, 137187, 27371, 197945, 2055, 33387, 1733, 322
128, 136200, 27653, 197897, 2103, 34044, 1759, 344
129, 135215, 27897, 197840, 2160, 34728, 1777, 383
130, 134182, 28139, 197763, 2237, 35442, 1813, 424
131, 133148, 28405, 197700, 2300, 36147, 1860, 440
132, 132058, 28653, 197599, 2401, 36888, 1968, 433
133, 130973, 28900, 197552, 2448, 37679, 2019, 429
134, 129891, 29145, 197483, 2517, 38447, 2068, 449
135, 128801, 29378, 197468, 2532, 39289, 2070, 462
136, 127713, 29596, 197436, 2564, 40127, 2072, 492
137, 126559, 29834, 197357, 2643, 40964, 2143, 500
138, 125467, 30051, 197339, 2661, 41821, 2150, 511
139, 124392, 30263, 197346, 2654, 42691, 2132, 522
140, 123316, 30470, 197393, 2607, 43607, 2053, 554
141, 122204, 30694, 197380, 2620, 44482, 2075, 545
142, 121073, 30875, 197293, 2707, 45345, 2135, 572
143, 119928, 31079, 197221, 2779, 46214, 2207, 572
144, 118810, 31304, 197216, 2784, 47102, 2218, 566
145, 117657, 31497, 197206, 2794, 48052, 2230, 564
146, 116529, 31672, 197194, 2806, 48993, 2207, 599
147, 115319, 31851, 197056, 2944, 49886, 2300, 644
148, 114172, 32015, 197033, 2967, 50846, 2302, 665
149, 113009, 32216, 197024, 2976, 51799, 2338, 638
150, 111854, 32375, 197059, 2941, 52830, 2287, 654
151, 110676, 32562, 197051, 2949, 53813, 2311, 638
152, 109467, 32732, 196974, 3026, 54775, 2359, 667
153, 108309, 32886, 196966, 3034, 55771, 2361, 673
154, 107156, 33036, 196954, 3046, 56762, 2339, 707
155, 105990, 33167, 196958, 3042, 57801, 2298, 744
156, 104905, 33320, 197030, 2970, 58805, 2230, 740
157, 103797, 33479, 197084, 2916, 59808, 2180, 736
158, 102668, 33626, 197137, 2863, 60843, 2139, 724
159, 101587, 33773, 197135, 2865, 61775, 2135, 730
160, 100434, 33920, 197078, 2922, 62724, 2176, 746
161, 99350, 34058, 197114, 2886, 63706, 2133, 753
162, 98254, 34213, 197107, 2893, 64640, 2148, 745
163, 97168, 34364, 197178, 2822, 65646, 2078, 744
164, 96063, 34514, 197169, 2831, 66592, 2100, 731
165, 94966, 34660, 197159, 2841, 67533, 2100, 741
166, 93924, 34788, 197180, 2820, 68468, 2057, 763
167, 92896, 34945, 197264, 2736, 69423, 1988, 748
168, 91873, 35085, 197332, 2668, 70374, 1915, 753
169, 90846, 35252, 197386, 2614, 71288, 1902, 712
170, 89826, 35405, 197390, 2610, 72159, 1894, 716
171, 88825, 35556, 197423, 2577, 73042, 1867, 710
172, 87822, 35703, 197427, 2573, 73902, 1840, 733
173, 86825, 35853, 197447, 2553, 74769, 1818, 735
174, 85820, 36017, 197456, 2544, 75619, 1822, 722
175, 84891, 36177, 197543, 2457, 76475, 1749, 708
176, 83946, 36338, 197606, 2394, 77322, 1694, 700
177, 83002, 36501, 197666, 2334, 78163, 1634, 700
178, 82074, 36664, 197670, 2330, 78932, 1635, 695
179, 81169, 36827, 197712, 2288, 79716, 1591, 697
180, 80304, 36983, 197784, 2216, 80497, 1514, 702
181, 79447, 37150, 197859, 2141, 81262, 1443, 698
182, 78599, 37302, 197905, 2095, 82004, 1391, 704
183, 77746, 37464, 197923, 2077, 82713, 1376, 701
184, 76921, 37631, 197955, 2045, 83403, 1341, 704
185, 76108, 37797, 198004, 1996, 84099, 1304, 692
186, 75305, 37983, 198078, 1922, 84790, 1255, 667
187, 74524, 38161, 198133, 1867, 85448, 1214, 653
188, 73725, 38364, 198184, 1816, 86095, 1201, 615
189, 72930, 38553, 198195, 1805, 86712, 1192, 613
190, 72175, 38740, 198230, 1770, 87315, 1160, 610
191, 71410, 38946, 198267, 1733, 87911, 1129, 604
192, 70674, 39136, 198327, 1673, 88517, 1065, 608
193, 69929, 39338, 198352, 1648, 89085, 1055, 593
194, 69234, 39536, 198414, 1586, 89644, 987, 599
195, 68536, 39750, 198476, 1524, 90190, 951, 573
196, 67832, 39965, 198530, 1470, 90733, 911, 559
197, 67186, 40179, 198595, 1405, 91230, 860, 545
198, 66529, 40394, 198637, 1363, 91714, 818, 545
199, 65857, 40628, 198688, 1312, 92203, 786, 526
200, 65228, 40883, 198746, 1254, 92635, 765, 489
201, 64592, 41116, 198785, 1215, 93077, 747, 468
202, 63964, 41334, 198813, 1187, 93515, 703, 484
203, 63324, 41596, 198809, 1191, 93889, 715, 476
204, 62677, 41842, 198811, 1189, 94292, 723, 466
205, 62067, 42089, 198858, 1142, 94702, 706, 436
206, 61440, 42341, 198861, 1139, 95080, 692, 447
207, 60826, 42572, 198879, 1121, 95481, 662, 459
208, 60222, 42811, 198877, 1123, 95844, 660, 463
209, 59608, 43067, 198894, 1106, 96219, 643, 463
210, 59002, 43308, 198912, 1088, 96602, 629, 459
211, 58407, 43574, 198948, 1052, 96967, 625, 427
212, 57814, 43820, 198959, 1041, 97325, 605, 436
213, 57226, 44075, 198991, 1009, 97690, 584, 425
214, 56661, 44352, 199032, 968, 98019, 552, 416
215, 56086, 44622, 199074, 926, 98366, 535, 391
216, 55519, 44902, 199120, 880, 98699, 515, 365
217, 54970, 45178, 199135, 865, 98987, 501, 364
218, 54447, 45448, 199187, 813, 99292, 449, 364
219, 53926, 45729, 199234, 766, 99579, 397, 369
220, 53400, 46007, 199259, 741, 99852, 379, 362
221, 52886, 46314, 199305, 695, 100105, 365, 330
222, 52366, 46604, 199315, 685, 100345, 364, 321
223, 51852, 46906, 199351, 649, 100593, 350, 299
224, 51340, 47205, 199345, 655, 100800, 346, 309
225, 50830, 47531, 199391, 609, 101030, 339, 270
226, 50327, 47848, 199417, 583, 101242, 328, 255
227, 49829, 48148, 199432, 568, 101455, 313, 255
228, 49341, 48464, 199444, 556, 101639, 291, 265
229, 48863, 48775, 199463, 537, 101825, 265, 272
230, 48373, 49091, 199487, 513, 102023, 261, 252
231, 47895, 49414, 199504, 496, 102195, 250, 246
232, 47427, 49743, 199532, 468, 102362, 243, 225
233, 46973, 50067, 199576, 424, 102536, 206, 218
234, 46511, 50400, 199602, 398, 102691, 190, 208
235, 46049, 50738, 199617, 383, 102830, 183, 200
236, 45599, 51083, 199642, 358, 102960, 178, 180
237, 45138, 51423, 199650, 350, 103089, 174, 176
238, 44684, 51761, 199658, 342, 103213, 167, 175
239, 44236, 52097, 199651, 349, 103318, 165, 184
240, 43781, 52432, 199652, 348, 103439, 162, 186
241, 43321, 52775, 199651, 349, 103555, 169, 180
242, 42873, 53104, 199644, 356, 103667, 166, 190
243, 42418, 53434, 199639, 361, 103787, 165, 196
244, 41977, 53762, 199643, 357, 103904, 145, 212
245, 41517, 54104, 199644, 356, 104023, 157, 199
246, 41074, 54436, 199658, 342, 104148, 148, 194
247, 40624, 54779, 199664, 336, 104261, 155, 181
248, 40171, 55114, 199664, 336, 104379, 146, 190
249, 39722, 55448, 199660, 340, 104490, 153, 187
250, 39280, 55781, 199658, 342, 104597, 147, 195
251, 38835, 56115, 199665, 335, 104715, 140, 195
252, 38391, 56444, 199665, 335, 104830, 135, 200
253, 37948, 56796, 199683, 317, 104939, 135, 182
254, 37511, 57139, 199700, 300, 105050, 127, 173
255, 37077, 57473, 199715, 285, 105165, 117, 168
256, 36645, 57821, 199722, 278, 105256, 107, 171
257, 36220, 58167, 199737, 263, 105350, 94, 169
258, 35796, 58509, 199755, 245, 105450, 83, 162
259, 35370, 58849, 199753, 247, 105534, 76, 171
260, 34947, 59191, 199751, 249, 105613, 74, 175
261, 34516, 59549, 199760, 240, 105695, 82, 158
262, 34091, 59896, 199768, 232, 105781, 81, 151
263, 33669, 60244, 199775, 225, 105862, 80, 145
264, 33247, 60606, 199788, 212, 105935, 71, 141
265, 32829, 60958, 199800, 200, 106013, 65, 135
266, 32410, 61307, 199804, 196, 106087, 60, 136
267, 31980, 61662, 199789, 211, 106147, 67, 144
268, 31561, 62017, 199791, 209, 106213, 69, 140
269, 31132, 62372, 199787, 213, 106283, 79, 134
270, 30706, 62712, 199776, 224, 106358, 76, 148
271, 30291, 63061, 199774, 226, 106422, 71, 155
272, 29870, 63413, 199779, 221, 106496, 64, 157
273, 29449, 63770, 199801, 199, 106582, 57, 142
274, 29031, 64127, 199806, 194, 106648, 60, 134
275, 28610, 64479, 199806, 194, 106717, 61, 133
276, 28189, 64835, 199805, 195, 106781, 64, 131
277, 27768, 65196, 199806, 194, 106842, 66, 128
278, 27350, 65565, 199826, 174, 106911, 61, 113
279, 26930, 65931, 199837, 163, 106976, 60, 103
280, 26509, 66297, 199842, 158, 107036, 59, 99
281, 26102, 66666, 199853, 147, 107085, 48, 99
282, 25693, 67040, 199872, 128, 107139, 38, 90
283, 25286, 67417, 199897, 103, 107194, 28, 75
284, 24875, 67795, 199902, 98, 107232, 31, 67
285, 24466, 68177, 199910, 90, 107267, 28, 62
286, 24060, 68561, 199918, 82, 107297, 27, 55
287, 23658, 68941, 199929, 71, 107330, 17, 54
288, 23252, 69323, 199932, 68, 107357, 14, 54
289, 22842, 69695, 199916, 84, 107379, 19, 65
290, 22435, 70071, 199907, 93, 107401, 24, 69
291, 22026, 70452, 199903, 97, 107425, 27, 70
292, 21616, 70822, 199901, 99, 107463, 26, 73
293, 21205, 71200, 199899, 101, 107494, 30, 71
294, 20796, 71574, 199892, 108, 107522, 31, 77
295, 20391, 71940, 199893, 107, 107562, 27, 80
296, 19986, 72308, 199889, 111, 107595, 21, 90
297, 19580, 72676, 199886, 114, 107630, 18, 96
298, 19172, 73054, 199895, 105, 107669, 20, 85
299, 18767, 73434, 199907, 93, 107706, 19, 74
300, 18362, 73813, 199919, 81, 107744, 19, 62
301, 17962, 74187, 199923, 77, 107774, 12, 65
302, 17559, 74572, 199930, 70, 107799, 11, 59
303, 17156, 74954, 199935, 65, 107825, 8, 57
304, 16753, 75343, 199947, 53, 107851, 9, 44
305, 16354, 75732, 199955, 45, 107869, 5, 40
306, 15953, 76122, 199965, 35, 107890, 5, 30
307, 15553, 76513, 199970, 30, 107904, 3, 27
308, 15152, 76904, 199970, 30, 107914, 3, 27
309, 14751, 77301, 199977, 23, 107925, 3, 20
310, 14349, 77693, 199976, 24, 107934, 4, 20
311, 13948, 78080, 199972, 28, 107944, 4, 24
312, 13547, 78468, 199963, 37, 107948, 4, 33
313, 13145, 78857, 199960, 40, 107958, 4, 36
314, 12742, 79245, 199959, 41, 107972, 6, 35
315, 12340, 79634, 199959, 41, 107985, 7, 34
316, 11939, 80026, 199963, 37, 107998, 6, 31
317, 11538, 80416, 199967, 33, 108013, 4, 29
318, 11137, 80805, 199968, 32, 108026, 3, 29
319, 10736, 81189, 199960, 40, 108035, 3, 37
320, 10337, 81571, 199954, 46, 108046, 2, 44
321, 9934, 81958, 199950, 50, 108058, 5, 45
322, 9532, 82341, 199948, 52, 108075, 5, 47
323, 9129, 82730, 199951, 49, 108092, 8, 41
324, 8728, 83109, 199945, 55, 108108, 7, 48
325, 8325, 83496, 199948, 52, 108127, 8, 44
326, 7922, 83883, 199946, 54, 108141, 7, 47
327, 7521, 84267, 199951, 49, 108163, 7, 42
328, 7118, 84643, 199940, 60, 108179, 7, 53
329, 6715, 85024, 199934, 66, 108195, 7, 59
330, 6312, 85408, 199932, 68, 108212, 9, 59
331, 5910, 85793, 199942, 58, 108239, 8, 50
332, 5509, 86182, 199952, 48, 108261, 7, 41
333, 5109, 86562, 199951, 49, 108280, 4, 45
334, 4709, 86948, 199954, 46, 108297, 1, 45
335, 4309, 87335, 199953, 47, 108309, 1, 46
336, 3908, 87719, 199956, 44, 108329, 2, 42
337, 3506, 88111, 199960, 40, 108343, 4, 36
338, 3107, 88500, 199963, 37, 108356, 2, 35
339, 2705, 88885, 199963, 37, 108373, 3, 34
340, 2304, 89272, 199959, 41, 108383, 3, 38
341, 1901, 89655, 199949, 51, 108393, 6, 45
342, 1502, 90035, 199947, 53, 108410, 3, 50
343, 1103, 90418, 199945, 55, 108424, 1, 54
344, 703, 90797, 199944, 56, 108444, 0, 56
345, 303, 91186, 199952, 48, 108463, 0, 48
346, 0, 91473, 199952, 48, 108479, 0, 48
347, 0, 91466, 199966, 34, 108500, 0, 34
348, 0, 91459, 199970, 30, 108511, 0, 30
349, 0, 91450, 199977, 23, 108527, 0, 23
350, 0, 91445, 199979, 21, 108534, 0, 21
