Timestep, S, V, S+V, I+VI, R, I, VI
1, 199989, 0, 199989, 11, 0, 11, 0
2, 199982, 0, 199982, 18, 0, 18, 0
3, 199975, 0, 199975, 25, 0, 25, 0
4, 199961, 0, 199972, 28, 11, 28, 0
5, 199945, 0, 199963, 37, 18, 37, 0
6, 199926, 0, 199951, 49, 25, 49, 0
7, 199911, 0, 199950, 50, 39, 50, 0
8, 199894, 0, 199949, 51, 55, 51, 0
9, 199869, 0, 199943, 57, 74, 57, 0
10, 199844, 0, 199933, 67, 89, 67, 0
11, 199818, 0, 199924, 76, 106, 76, 0
12, 199783, 0, 199914, 86, 131, 86, 0
13, 199754, 0, 199910, 90, 156, 90, 0
14, 199725, 0, 199907, 93, 182, 93, 0
15, 199691, 0, 199908, 92, 217, 92, 0
16, 199648, 0, 199894, 106, 246, 106, 0
17, 199609, 0, 199884, 116, 275, 116, 0
18, 199567, 0, 199876, 124, 309, 124, 0
19, 199524, 0, 199876, 124, 352, 124, 0
20, 199480, 0, 199871, 129, 391, 129, 0
21, 199433, 0, 199866, 134, 433, 134, 0
22, 199380, 0, 199856, 144, 476, 144, 0
23, 199322, 0, 199842, 158, 520, 158, 0
24, 199261, 0, 199828, 172, 567, 172, 0
25, 199208, 0, 199828, 172, 620, 172, 0
26, 199151, 0, 199829, 171, 678, 171, 0
27, 199090, 0, 199829, 171, 739, 171, 0
28, 199029, 0, 199821, 179, 792, 179, 0
29, 198967, 0, 199816, 184, 849, 184, 0
30, 198902, 0, 199812, 188, 910, 188, 0
31, 198826, 0, 199797, 203, 971, 203, 0
32, 198743, 0, 199776, 224, 1033, 224, 0
33, 198644, 0, 199742, 258, 1098, 258, 0
34, 198555, 0, 199729, 271, 1174, 271, 0
35, 198459, 0, 199716, 284, 1257, 284, 0
36, 198367, 0, 199723, 277, 1356, 277, 0
37, 198273, 0, 199718, 282, 1445, 282, 0
38, 198195, 0, 199736, 264, 1541, 264, 0
39, 198107, 0, 199740, 260, 1633, 260, 0
40, 198012, 0, 199739, 261, 1727, 261, 0
41, 197929, 0, 199734, 266, 1805, 266, 0
42, 197849, 0, 199742, 258, 1893, 258, 0
43, 197754, 0, 199742, 258, 1988, 258, 0
44, 197651, 0, 199722, 278, 2071, 278, 0
45, 197541, 0, 199692, 308, 2151, 308, 0
46, 197429, 0, 199675, 325, 2246, 325, 0
47, 197323, 0, 199672, 328, 2349, 328, 0
48, 197194, 0, 199653, 347, 2459, 347, 0
49, 197066, 0, 199637, 363, 2571, 363, 0
50, 196907, 0, 199584, 416, 2677, 416, 0
51, 196380, 399, 199585, 415, 2806, 415, 0
52, 195827, 798, 199559, 441, 2934, 441, 0
53, 195255, 1197, 199545, 455, 3093, 454, 1
54, 194684, 1596, 199501, 499, 3221, 497, 2
55, 194109, 1994, 199478, 522, 3375, 519, 3
56, 193541, 2392, 199481, 519, 3548, 517, 2
57, 192943, 2790, 199453, 547, 3720, 545, 2
58, 192349, 3184, 199430, 570, 3897, 564, 6
59, 191746, 3581, 199394, 606, 4067, 597, 9
60, 191140, 3979, 199386, 614, 4267, 606, 8
61, 190525, 4377, 199369, 631, 4467, 627, 4
62, 189911, 4775, 199359, 641, 4673, 640, 1
63, 189249, 5174, 199304, 696, 4881, 696, 0
64, 188603, 5574, 199275, 725, 5098, 725, 0
65, 187953, 5970, 199237, 763, 5314, 759, 4
66, 187289, 6365, 199231, 769, 5577, 762, 7
67, 186633, 6763, 199219, 781, 5823, 773, 8
68, 185951, 7158, 199186, 814, 6077, 806, 8
69, 185277, 7553, 199176, 824, 6346, 815, 9
70, 184635, 7949, 199188, 812, 6604, 802, 10
71, 183973, 8346, 199210, 790, 6891, 783, 7
72, 183327, 8742, 199239, 761, 7170, 756, 5
73, 182683, 9132, 199231, 769, 7416, 756, 13
74, 182012, 9527, 199220, 780, 7681, 766, 14
75, 181333, 9925, 199189, 811, 7931, 798, 13
76, 180668, 10318, 199171, 829, 8185, 819, 10
77, 179978, 10714, 199153, 847, 8461, 836, 11
78, 179294, 11109, 199145, 855, 8742, 844, 11
79, 178618, 11505, 199137, 863, 9014, 854, 9
80, 177927, 11903, 199138, 862, 9308, 854, 8
81, 177224, 12297, 199118, 882, 9597, 871, 11
82, 176548, 12690, 199115, 885, 9877, 870, 15
83, 175852, 13087, 199109, 891, 10170, 879, 12
84, 175158, 13483, 199120, 880, 10479, 871, 9
85, 174487, 13879, 199128, 872, 10762, 864, 8
86, 173835, 14270, 199166, 834, 11061, 819, 15
87, 173143, 14660, 199162, 838, 11359, 819, 19
88, 172479, 15057, 199170, 830, 11634, 812, 18
89, 171801, 15456, 199152, 848, 11895, 839, 9
90, 171135, 15851, 199183, 817, 12197, 809, 8
91, 170465, 16247, 199176, 824, 12464, 814, 10
92, 169796, 16642, 199181, 819, 12743, 806, 13
93, 169112, 17033, 199159, 841, 13014, 826, 15
94, 168444, 17429, 199161, 839, 13288, 824, 15
95, 167800, 17823, 199185, 815, 13562, 801, 14
96, 167157, 18218, 199230, 770, 13855, 761, 9
97, 166515, 18614, 199256, 744, 14127, 734, 10
98, 165860, 19003, 199240, 760, 14377, 744, 16
99, 165202, 19393, 199220, 780, 14625, 760, 20
100, 164538, 19785, 199194, 806, 14871, 784, 22
101, 163906, 20178, 199221, 779, 15137, 761, 18
102, 163249, 20570, 199224, 776, 15405, 759, 17
103, 162600, 20968, 199245, 755, 15677, 740, 15
