Timestep, S, V, S+V, I+VI, R, I, VI
1, 199994, 0, 199994, 6, 0, 6, 0
2, 199990, 0, 199990, 10, 0, 10, 0
3, 199985, 0, 199985, 15, 0, 15, 0
4, 199980, 0, 199986, 14, 6, 14, 0
5, 199973, 0, 199983, 17, 10, 17, 0
6, 199965, 0, 199980, 20, 15, 20, 0
7, 199957, 0, 199977, 23, 20, 23, 0
8, 199945, 0, 199972, 28, 27, 28, 0
9, 199929, 0, 199964, 36, 35, 36, 0
10, 199912, 0, 199955, 45, 43, 45, 0
11, 199890, 0, 199945, 55, 55, 55, 0
12, 199867, 0, 199938, 62, 71, 62, 0
13, 199850, 0, 199938, 62, 88, 62, 0
14, 199833, 0, 199943, 57, 110, 57, 0
15, 199809, 0, 199942, 58, 133, 58, 0
16, 199794, 0, 199944, 56, 150, 56, 0
17, 199780, 0, 199947, 53, 167, 53, 0
18, 199758, 0, 199949, 51, 191, 51, 0
19, 199746, 0, 199952, 48, 206, 48, 0
20, 199729, 0, 199949, 51, 220, 51, 0
21, 199708, 0, 199950, 50, 242, 50, 0
22, 199686, 0, 199940, 60, 254, 60, 0
23, 199666, 0, 199937, 63, 271, 63, 0
24, 199646, 0, 199938, 62, 292, 62, 0
25, 199625, 0, 199939, 61, 314, 61, 0
26, 199615, 0, 199949, 51, 334, 51, 0
27, 199599, 0, 199953, 47, 354, 47, 0
28, 199585, 0, 199960, 40, 375, 40, 0
29, 199572, 0, 199957, 43, 385, 43, 0
30, 199550, 0, 199951, 49, 401, 49, 0
31, 199533, 0, 199948, 52, 415, 52, 0
32, 199505, 0, 199933, 67, 428, 67, 0
33, 199481, 0, 199931, 69, 450, 69, 0
34, 199456, 0, 199923, 77, 467, 77, 0
35, 199437, 0, 199932, 68, 495, 68, 0
36, 199413, 0, 199932, 68, 519, 68, 0
37, 199393, 0, 199937, 63, 544, 63, 0
38, 199373, 0, 199936, 64, 563, 64, 0
39, 199359, 0, 199946, 54, 587, 54, 0
40, 199337, 0, 199944, 56, 607, 56, 0
41, 199318, 0, 199945, 55, 627, 55, 0
42, 199298, 0, 199939, 61, 641, 61, 0
43, 199272, 0, 199935, 65, 663, 65, 0
44, 199251, 0, 199933, 67, 682, 67, 0
45, 199218, 0, 199920, 80, 702, 80, 0
46, 199175, 0, 199903, 97, 728, 97, 0
47, 199137, 0, 199886, 114, 749, 114, 0
48, 199091, 0, 199873, 127, 782, 127, 0
49, 199050, 0, 199875, 125, 825, 125, 0
50, 199013, 0, 199876, 124, 863, 124, 0
51, 198575, 400, 199884, 116, 909, 116, 0
52, 198140, 800, 199890, 110, 950, 110, 0
53, 197709, 1200, 199896, 104, 987, 104, 0
54, 197267, 1598, 199890, 110, 1025, 110, 0
55, 196830, 1996, 199886, 114, 1060, 114, 0
56, 196385, 2395, 199871, 129, 1091, 128, 1
57, 195928, 2795, 199858, 142, 1135, 141, 1
58, 195482, 3194, 199850, 150, 1174, 148, 2
59, 195030, 3593, 199843, 157, 1220, 156, 1
60, 194571, 3993, 199841, 159, 1277, 158, 1
61, 194107, 4392, 199823, 177, 1324, 176, 1
62, 193638, 4791, 199806, 194, 1377, 193, 1
63, 193188, 5191, 199815, 185, 1436, 184, 1
64, 192738, 5589, 199828, 172, 1501, 172, 0
65, 192281, 5987, 199839, 161, 1571, 159, 2
66, 191823, 6386, 199830, 170, 1621, 167, 3
67, 191364, 6786, 199823, 177, 1673, 174, 3
68, 190898, 7186, 199816, 184, 1732, 184, 0
69, 190425, 7586, 199802, 198, 1791, 198, 0
70, 189933, 7985, 199768, 232, 1850, 231, 1
71, 189465, 8380, 199761, 239, 1916, 236, 3
72, 188990, 8780, 199759, 241, 1989, 238, 3
73, 188503, 9178, 199763, 237, 2082, 234, 3
74, 188012, 9578, 199745, 255, 2155, 254, 1
75, 187539, 9977, 199746, 254, 2230, 252, 2
76, 187053, 10374, 199746, 254, 2319, 250, 4
77, 186571, 10771, 199752, 248, 2410, 242, 6
78, 186096, 11170, 199750, 250, 2484, 245, 5
79, 185615, 11569, 199757, 243, 2573, 239, 4
80, 185143, 11968, 199769, 231, 2658, 229, 2
81, 184666, 12367, 199767, 233, 2734, 231, 2
82, 184189, 12764, 199769, 231, 2816, 227, 4
83, 183717, 13160, 199766, 234, 2889, 226, 8
84, 183243, 13560, 199770, 230, 2967, 223, 7
85, 182766, 13959, 199772, 228, 3047, 225, 3
86, 182297, 14357, 199777, 223, 3123, 223, 0
87, 181829, 14756, 199782, 218, 3197, 217, 1
88, 181357, 15152, 199784, 216, 3275, 212, 4
89, 180880, 15550, 199776, 224, 3346, 220, 4
90, 180406, 15949, 199770, 230, 3415, 226, 4
91, 179919, 16348, 199758, 242, 3491, 239, 3
92, 179424, 16745, 199739, 261, 3570, 257, 4
93, 178936, 17142, 199723, 277, 3645, 271, 6
94, 178448, 17540, 199721, 279, 3733, 271, 8
95, 177974, 17936, 199741, 259, 3831, 251, 8
96, 177506, 18335, 199763, 237, 3922, 232, 5
97, 177032, 18732, 199776, 224, 4012, 220, 4
98, 176566, 19129, 199785, 215, 4090, 209, 6
99, 176108, 19529, 199796, 204, 4159, 199, 5
100, 175639, 19929, 199804, 196, 4236, 193, 3
101, 175214, 20329, 199848, 152, 4305, 152, 0
102, 174769, 20726, 199858, 142, 4363, 139, 3
103, 174314, 21124, 199870, 130, 4432, 126, 4
104, 173881, 21522, 199860, 140, 4457, 135, 5
105, 173451, 21922, 199878, 122, 4505, 119, 3
106, 173016, 22320, 199898, 102, 4562, 99, 3
107, 172590, 22720, 199907, 93, 4597, 91, 2
108, 172159, 23120, 199906, 94, 4627, 92, 2
109, 171730, 23519, 199913, 87, 4664, 86, 1
110, 171298, 23915, 199903, 97, 4690, 92, 5
111, 170870, 24315, 199906, 94, 4721, 89, 5
112, 170442, 24712, 199905, 95, 4751, 89, 6
113, 170010, 25109, 199906, 94, 4787, 88, 6
114, 169572, 25504, 199891, 109, 4815, 98, 11
115, 169131, 25904, 199881, 119, 4846, 111, 8
116, 168704, 26304, 199889, 111, 4881, 106, 5
117, 168281, 26704, 199909, 91, 4924, 91, 0
118, 167863, 27104, 199932, 68, 4965, 68, 0
119, 167437, 27504, 199933, 67, 4992, 67, 0
120, 167008, 27904, 199927, 73, 5015, 73, 0
121, 166589, 28304, 199926, 74, 5033, 74, 0
122, 166165, 28704, 199928, 72, 5059, 72, 0
123, 165742, 29104, 199934, 66, 5088, 66, 0
124, 165326, 29504, 199937, 63, 5107, 63, 0
