Timestep, S, V, S+V, I+VI, R, I, VI
1, 199992, 0, 199992, 8, 0, 8, 0
2, 199986, 0, 199986, 14, 0, 14, 0
3, 199979, 0, 199979, 21, 0, 21, 0
4, 199966, 0, 199974, 26, 8, 26, 0
5, 199953, 0, 199967, 33, 14, 33, 0
6, 199941, 0, 199962, 38, 21, 38, 0
7, 199925, 0, 199959, 41, 34, 41, 0
8, 199904, 0, 199951, 49, 47, 49, 0
9, 199882, 0, 199941, 59, 59, 59, 0
10, 199853, 0, 199928, 72, 75, 72, 0
11, 199818, 0, 199914, 86, 96, 86, 0
12, 199775, 0, 199893, 107, 118, 107, 0
13, 199744, 0, 199891, 109, 147, 109, 0
14, 199703, 0, 199885, 115, 182, 115, 0
15, 199652, 0, 199877, 123, 225, 123, 0
16, 199604, 0, 199860, 140, 256, 140, 0
17, 199568, 0, 199865, 135, 297, 135, 0
18, 199518, 0, 199866, 134, 348, 134, 0
19, 199478, 0, 199874, 126, 396, 126, 0
20, 199430, 0, 199862, 138, 432, 138, 0
21, 199384, 0, 199866, 134, 482, 134, 0
22, 199344, 0, 199866, 134, 522, 134, 0
23, 199309, 0, 199879, 121, 570, 121, 0
24, 199268, 0, 199884, 116, 616, 116, 0
25, 199232, 0, 199888, 112, 656, 112, 0
26, 199196, 0, 199887, 113, 691, 113, 0
27, 199167, 0, 199899, 101, 732, 101, 0
28, 199126, 0, 199894, 106, 768, 106, 0
29, 199092, 0, 199896, 104, 804, 104, 0
30, 199062, 0, 199895, 105, 833, 105, 0
31, 199025, 0, 199899, 101, 874, 101, 0
32, 198990, 0, 199898, 102, 908, 102, 0
33, 198955, 0, 199893, 107, 938, 107, 0
34, 198906, 0, 199881, 119, 975, 119, 0
35, 198861, 0, 199871, 129, 1010, 129, 0
36, 198812, 0, 199857, 143, 1045, 143, 0
37, 198759, 0, 199853, 147, 1094, 147, 0
38, 198701, 0, 199840, 160, 1139, 160, 0
39, 198654, 0, 199842, 158, 1188, 158, 0
40, 198602, 0, 199843, 157, 1241, 157, 0
41, 198536, 0, 199835, 165, 1299, 165, 0
42, 198480, 0, 199826, 174, 1346, 174, 0
43, 198422, 0, 199820, 180, 1398, 180, 0
44, 198368, 0, 199832, 168, 1464, 168, 0
45, 198302, 0, 199822, 178, 1520, 178, 0
46, 198230, 0, 199808, 192, 1578, 192, 0
47, 198150, 0, 199782, 218, 1632, 218, 0
48, 198068, 0, 199766, 234, 1698, 234, 0
49, 197992, 0, 199762, 238, 1770, 238, 0
50, 197905, 0, 199755, 245, 1850, 245, 0
51, 197433, 399, 199764, 236, 1932, 236, 0
52, 196947, 799, 199754, 246, 2008, 246, 0
53, 196457, 1197, 199749, 251, 2095, 249, 2
54, 195975, 1595, 199738, 262, 2168, 259, 3
55, 195489, 1995, 199738, 262, 2254, 259, 3
56, 195003, 2389, 199738, 262, 2346, 255, 7
57, 194511, 2785, 199726, 274, 2430, 266, 8
58, 194012, 3180, 199708, 292, 2516, 279, 13
59, 193507, 3579, 199694, 306, 2608, 297, 9
60, 192995, 3975, 199674, 326, 2704, 318, 8
61, 192479, 4369, 199656, 344, 2808, 337, 7
62, 191956, 4767, 199637, 363, 2914, 354, 9
63, 191437, 5162, 199629, 371, 3030, 362, 9
64, 190895, 5559, 199606, 394, 3152, 386, 8
65, 190359, 5950, 199586, 414, 3277, 398, 16
66, 189814, 6340, 199555, 445, 3401, 425, 20
67, 189250, 6734, 199530, 470, 3546, 449, 21
68, 188700, 7124, 199515, 485, 3691, 462, 23
69, 188143, 7513, 199502, 498, 3846, 474, 24
70, 187588, 7907, 199511, 489, 4016, 464, 25
71, 187027, 8303, 199506, 494, 4176, 476, 18
72, 186459, 8691, 199494, 506, 4344, 485, 21
73, 185874, 9082, 199461, 539, 4505, 514, 25
74, 185287, 9473, 199430, 570, 4670, 541, 29
75, 184676, 9861, 199387, 613, 4850, 584, 29
76, 184073, 10247, 199364, 636, 5044, 604, 32
77, 183443, 10629, 199312, 688, 5240, 648, 40
78, 182825, 11019, 199307, 693, 5463, 657, 36
79, 182204, 11404, 199288, 712, 5680, 675, 37
80, 181568, 11779, 199275, 725, 5928, 677, 48
81, 180919, 12157, 199232, 768, 6156, 709, 59
82, 180266, 12533, 199191, 809, 6392, 742, 67
83, 179621, 12908, 199182, 818, 6653, 751, 67
84, 178934, 13287, 199145, 855, 6924, 787, 68
85, 178282, 13664, 199147, 853, 7201, 784, 69
86, 177629, 14045, 199145, 855, 7471, 792, 63
87, 176922, 14408, 199109, 891, 7779, 816, 75
88, 176242, 14783, 199079, 921, 8054, 843, 78
89, 175560, 15150, 199036, 964, 8326, 873, 91
90, 174836, 15516, 199022, 978, 8670, 891, 87
91, 174127, 15878, 198980, 1020, 8975, 920, 100
92, 173439, 16243, 198972, 1028, 9290, 926, 102
93, 172716, 16600, 198964, 1036, 9648, 921, 115
94, 172021, 16962, 198978, 1022, 9995, 908, 114
95, 171283, 17317, 198918, 1082, 10318, 960, 122
96, 170562, 17670, 198916, 1084, 10684, 960, 124
97, 169803, 18019, 198839, 1161, 11017, 1026, 135
98, 169039, 18364, 198803, 1197, 11400, 1049, 148
99, 168249, 18705, 198722, 1278, 11768, 1122, 156
100, 167422, 19047, 198647, 1353, 12178, 1189, 164
101, 166562, 19395, 198554, 1446, 12597, 1282, 164
102, 165768, 19738, 198552, 1448, 13046, 1285, 163
103, 164958, 20080, 198569, 1431, 13531, 1267, 164
104, 164105, 20420, 198568, 1432, 14043, 1258, 174
105, 163235, 20756, 198485, 1515, 14494, 1335, 180
106, 162371, 21083, 198416, 1584, 14962, 1390, 194
107, 161509, 21406, 198390, 1610, 15475, 1404, 206
108, 160655, 21738, 198402, 1598, 16009, 1391, 207
109, 159797, 22077, 198420, 1580, 16546, 1382, 198
110, 158942, 22390, 198417, 1583, 17085, 1374, 209
111, 158073, 22697, 198377, 1623, 17607, 1390, 233
112, 157204, 23017, 198347, 1653, 18126, 1399, 254
113, 156292, 23322, 198282, 1718, 18668, 1456, 262
114, 155403, 23631, 198264, 1736, 19230, 1476, 260
115, 154547, 23935, 198261, 1739, 19779, 1462, 277
116, 153625, 24256, 198267, 1733, 20386, 1474, 259
117, 152694, 24555, 198215, 1785, 20966, 1517, 268
118, 151767, 24839, 198124, 1876, 21518, 1587, 289
119, 150831, 25139, 198089, 1911, 22119, 1602, 309
120, 149843, 25428, 198022, 1978, 22751, 1657, 321
121, 148838, 25707, 197939, 2061, 23394, 1739, 322
122, 147908, 25980, 197918, 2082, 24030, 1733, 349
123, 146880, 26252, 197861, 2139, 24729, 1771, 368
124, 145873, 26534, 197862, 2138, 25455, 1772, 366
125, 144923, 26806, 197841, 2159, 26112, 1794, 365
126, 143940, 27088, 197896, 2104, 26868, 1749, 355
127, 142979, 27363, 197935, 2065, 27593, 1697, 368
128, 141994, 27639, 197904, 2096, 28271, 1736, 360
129, 140986, 27892, 197850, 2150, 28972, 1763, 387
130, 139957, 28144, 197759, 2241, 29658, 1831, 410
131, 138918, 28368, 197653, 2347, 30367, 1887, 460
132, 137862, 28613, 197597, 2403, 31122, 1934, 469
133, 136814, 28821, 197534, 2466, 31899, 1951, 515
134, 135744, 29064, 197522, 2478, 32714, 1982, 496
135, 134702, 29301, 197528, 2472, 33525, 1969, 503
136, 133610, 29536, 197511, 2489, 34365, 2015, 474
137, 132530, 29773, 197495, 2505, 35192, 2023, 482
138, 131415, 30001, 197413, 2587, 35997, 2097, 490
139, 130318, 30232, 197404, 2596, 36854, 2108, 488
140, 129207, 30414, 197318, 2682, 37697, 2150, 532
141, 128093, 30606, 197283, 2717, 38584, 2146, 571
142, 126983, 30805, 197238, 2762, 39450, 2157, 605
143, 125898, 30996, 197273, 2727, 40379, 2120, 607
144, 124808, 31191, 197300, 2700, 41301, 2094, 606
145, 123699, 31383, 197294, 2706, 42212, 2094, 612
146, 122610, 31568, 197284, 2716, 43106, 2094, 622
147, 121518, 31748, 197267, 2733, 44001, 2097, 636
148, 120421, 31933, 197272, 2728, 44918, 2086, 642
149, 119342, 32095, 197259, 2741, 45822, 2081, 660
150, 118257, 32256, 197247, 2753, 46734, 2079, 674
151, 117154, 32443, 197243, 2757, 47646, 2087, 670
152, 116078, 32605, 197246, 2754, 48563, 2077, 677
153, 114974, 32782, 197243, 2757, 49487, 2090, 667
154, 113945, 32954, 197302, 2698, 50403, 2018, 680
155, 112915, 33119, 197351, 2649, 51317, 1975, 674
156, 111925, 33283, 197452, 2548, 52244, 1860, 688
157, 110911, 33440, 197452, 2548, 53101, 1843, 705
158, 109911, 33606, 197483, 2517, 53966, 1823, 694
159, 108907, 33758, 197457, 2543, 54792, 1838, 705
160, 107883, 33912, 197444, 2556, 55649, 1847, 709
161, 106869, 34080, 197432, 2568, 56483, 1858, 710
162, 105815, 34236, 197386, 2614, 57335, 1905, 709
163, 104842, 34390, 197437, 2563, 58205, 1855, 708
164, 103787, 34561, 197399, 2601, 59051, 1893, 708
165, 102760, 34724, 197433, 2567, 59949, 1867, 700
166, 101756, 34893, 197417, 2583, 60768, 1895, 688
167, 100768, 35031, 197451, 2549, 61652, 1829, 720
168, 99774, 35160, 197450, 2550, 62516, 1797, 753
169, 98793, 35301, 197445, 2555, 63351, 1778, 777
170, 97829, 35448, 197478, 2522, 64201, 1756, 766
171, 96866, 35586, 197518, 2482, 65066, 1721, 761
172, 95881, 35726, 197513, 2487, 65906, 1724, 763
173, 94888, 35860, 197471, 2529, 66723, 1754, 775
174, 93919, 36006, 197473, 2527, 67548, 1765, 762
175, 92947, 36134, 197474, 2526, 68393, 1749, 777
176, 91994, 36285, 197531, 2469, 69252, 1712, 757
177, 91036, 36396, 197507, 2493, 70075, 1703, 790
178, 90095, 36512, 197526, 2474, 70919, 1672, 802
179, 89194, 36632, 197547, 2453, 71721, 1617, 836
180, 88282, 36768, 197618, 2382, 72568, 1565, 817
181, 87388, 36926, 197707, 2293, 73393, 1521, 772
182, 86458, 37055, 197687, 2313, 74174, 1548, 765
183, 85558, 37201, 197709, 2291, 74950, 1539, 752
184, 84663, 37375, 197724, 2276, 75686, 1543, 733
185, 83783, 37509, 197779, 2221, 76487, 1489, 732
186, 82894, 37660, 197795, 2205, 77241, 1476, 729
187, 82040, 37826, 197828, 2172, 77962, 1437, 735
188, 81202, 37993, 197903, 2097, 78708, 1395, 702
189, 80366, 38144, 197956, 2044, 79446, 1340, 704
190, 79552, 38299, 197985, 2015, 80134, 1302, 713
191, 78750, 38477, 198032, 1968, 80805, 1267, 701
192, 77955, 38634, 198079, 1921, 81490, 1222, 699
193, 77214, 38824, 198187, 1813, 82149, 1144, 669
194, 76458, 38994, 198225, 1775, 82773, 1101, 674
195, 75711, 39175, 198297, 1703, 83411, 1056, 647
196, 74984, 39349, 198295, 1705, 83962, 1041, 664
197, 74245, 39548, 198341, 1659, 84548, 1027, 632
198, 73514, 39754, 198382, 1618, 85114, 1014, 604
199, 72820, 39944, 198431, 1569, 85667, 978, 591
200, 72114, 40140, 198461, 1539, 86207, 946, 593
201, 71393, 40356, 198481, 1519, 86732, 931, 588
202, 70735, 40562, 198533, 1467, 87236, 899, 568
203, 70071, 40756, 198573, 1427, 87746, 860, 567
204, 69399, 40959, 198609, 1391, 88251, 808, 583
205, 68708, 41169, 198580, 1420, 88703, 842, 578
206, 68010, 41359, 198542, 1458, 89173, 871, 587
207, 67352, 41547, 198541, 1459, 89642, 854, 605
208, 66674, 41755, 198552, 1448, 90123, 845, 603
209, 65994, 41948, 198573, 1427, 90631, 826, 601
210, 65343, 42132, 198576, 1424, 91101, 821, 603
211, 64681, 42305, 198557, 1443, 91571, 805, 638
212, 64012, 42476, 198546, 1454, 92058, 795, 659
213, 63345, 42670, 198540, 1460, 92525, 811, 649
214, 62678, 42862, 198554, 1446, 93014, 819, 627
215, 62017, 43056, 198585, 1415, 93512, 809, 606
216, 61384, 43265, 198634, 1366, 93985, 775, 591
217, 60781, 43460, 198701, 1299, 94460, 711, 588
218, 60175, 43679, 198781, 1219, 94927, 654, 565
219, 59577, 43919, 198847, 1153, 95351, 616, 537
220, 59010, 44131, 198900, 1100, 95759, 579, 521
221, 58432, 44358, 198936, 1064, 96146, 553, 511
222, 57866, 44613, 198983, 1017, 96504, 519, 498
223, 57322, 44874, 199055, 945, 96859, 495, 450
224, 56766, 45133, 199109, 891, 97210, 470, 421
225, 56204, 45401, 199126, 874, 97521, 469, 405
226, 55662, 45663, 199129, 871, 97804, 469, 402
227, 55118, 45933, 199152, 848, 98101, 458, 390
228, 54580, 46183, 199158, 842, 98395, 434, 408
229, 54044, 46449, 199168, 832, 98675, 425, 407
230, 53514, 46718, 199181, 819, 98949, 413, 406
231, 52987, 46982, 199206, 794, 99237, 402, 392
232, 52470, 47239, 199216, 784, 99507, 383, 401
233, 51951, 47513, 199232, 768, 99768, 369, 399
234, 51442, 47785, 199258, 742, 100031, 351, 391
235, 50945, 48080, 199316, 684, 100291, 331, 353
236, 50434, 48365, 199335, 665, 100536, 326, 339
237, 49941, 48655, 199369, 631, 100773, 308, 323
238, 49464, 48929, 199368, 632, 100975, 290, 342
239, 48987, 49207, 199395, 605, 101201, 254, 351
240, 48515, 49490, 199409, 591, 101404, 231, 360
241, 48036, 49790, 199433, 567, 101607, 235, 332
242, 47550, 50074, 199430, 570, 101806, 241, 329
243, 47073, 50378, 199446, 554, 101995, 246, 308
244, 46605, 50655, 199434, 566, 102174, 234, 332
245, 46137, 50952, 199465, 535, 102376, 217, 318
246, 45656, 51259, 199464, 536, 102549, 221, 315
247, 45181, 51566, 199487, 513, 102740, 226, 287
248, 44716, 51878, 199505, 495, 102911, 224, 271
249, 44260, 52193, 199538, 462, 103085, 199, 263
250, 43805, 52498, 199556, 444, 103253, 180, 264
251, 43344, 52821, 199571, 429, 103406, 174, 255
252, 42879, 53160, 199586, 414, 103547, 181, 233
253, 42438, 53488, 199623, 377, 103697, 168, 209
254, 41993, 53821, 199649, 351, 103835, 153, 198
255, 41559, 54146, 199666, 334, 103961, 123, 211
256, 41123, 54473, 199670, 330, 104074, 118, 212
257, 40684, 54808, 199678, 322, 104186, 113, 209
258, 40235, 55136, 199666, 334, 104295, 126, 208
259, 39792, 55469, 199665, 335, 104404, 132, 203
260, 39356, 55794, 199658, 342, 104508, 128, 214
261, 38903, 56126, 199658, 342, 104629, 132, 210
262, 38467, 56445, 199651, 349, 104739, 128, 221
263, 38037, 56760, 199647, 353, 104850, 123, 230
264, 37581, 57083, 199635, 365, 104971, 127, 238
265, 37135, 57405, 199628, 372, 105088, 133, 239
266, 36693, 57722, 199618, 382, 105203, 148, 234
267, 36235, 58045, 199616, 384, 105336, 151, 233
268, 35798, 58371, 199629, 371, 105460, 141, 230
269, 35368, 58693, 199646, 354, 105585, 127, 227
