Timestep, S, V, S+V, I+VI, R, I, VI
1, 199989, 0, 199989, 11, 0, 11, 0
2, 199985, 0, 199985, 15, 0, 15, 0
3, 199979, 0, 199979, 21, 0, 21, 0
4, 199965, 0, 199976, 24, 11, 24, 0
5, 199954, 0, 199969, 31, 15, 31, 0
6, 199938, 0, 199959, 41, 21, 41, 0
7, 199925, 0, 199960, 40, 35, 40, 0
8, 199918, 0, 199964, 36, 46, 36, 0
9, 199900, 0, 199962, 38, 62, 38, 0
10, 199883, 0, 199958, 42, 75, 42, 0
11, 199872, 0, 199954, 46, 82, 46, 0
12, 199856, 0, 199956, 44, 100, 44, 0
13, 199836, 0, 199953, 47, 117, 47, 0
14, 199818, 0, 199946, 54, 128, 54, 0
15, 199798, 0, 199942, 58, 144, 58, 0
16, 199778, 0, 199942, 58, 164, 58, 0
17, 199746, 0, 199928, 72, 182, 72, 0
18, 199727, 0, 199929, 71, 202, 71, 0
19, 199705, 0, 199927, 73, 222, 73, 0
20, 199677, 0, 199931, 69, 254, 69, 0
21, 199653, 0, 199926, 74, 273, 74, 0
22, 199621, 0, 199916, 84, 295, 84, 0
23, 199593, 0, 199916, 84, 323, 84, 0
24, 199566, 0, 199913, 87, 347, 87, 0
25, 199541, 0, 199920, 80, 379, 80, 0
26, 199517, 0, 199924, 76, 407, 76, 0
27, 199488, 0, 199922, 78, 434, 78, 0
28, 199462, 0, 199921, 79, 459, 79, 0
29, 199437, 0, 199920, 80, 483, 80, 0
30, 199406, 0, 199918, 82, 512, 82, 0
31, 199371, 0, 199909, 91, 538, 91, 0
32, 199338, 0, 199901, 99, 563, 99, 0
33, 199296, 0, 199890, 110, 594, 110, 0
34, 199261, 0, 199890, 110, 629, 110, 0
35, 199208, 0, 199870, 130, 662, 130, 0
36, 199166, 0, 199870, 130, 704, 130, 0
37, 199126, 0, 199865, 135, 739, 135, 0
38, 199072, 0, 199864, 136, 792, 136, 0
39, 199025, 0, 199859, 141, 834, 141, 0
40, 198974, 0, 199848, 152, 874, 152, 0
41, 198894, 0, 199822, 178, 928, 178, 0
42, 198840, 0, 199815, 185, 975, 185, 0
43, 198767, 0, 199793, 207, 1026, 207, 0
44, 198689, 0, 199795, 205, 1106, 205, 0
45, 198607, 0, 199767, 233, 1160, 233, 0
46, 198508, 0, 199741, 259, 1233, 259, 0
47, 198411, 0, 199722, 278, 1311, 278, 0
48, 198308, 0, 199701, 299, 1393, 299, 0
49, 198196, 0, 199688, 312, 1492, 312, 0
50, 198071, 0, 199660, 340, 1589, 340, 0
51, 197539, 398, 199629, 371, 1692, 369, 2
52, 197009, 797, 199610, 390, 1804, 388, 2
53, 196457, 1197, 199583, 417, 1929, 416, 1
54, 195906, 1595, 199564, 436, 2063, 434, 2
55, 195334, 1994, 199522, 478, 2194, 476, 2
56, 194768, 2393, 199507, 493, 2346, 491, 2
57, 194195, 2791, 199485, 515, 2499, 512, 3
58, 193631, 3190, 199493, 507, 2672, 504, 3
59, 193048, 3587, 199474, 526, 2839, 520, 6
60, 192475, 3984, 199473, 527, 3014, 523, 4
61, 191892, 4380, 199451, 549, 3179, 542, 7
62, 191310, 4775, 199450, 550, 3365, 540, 10
63, 190722, 5173, 199436, 564, 3541, 555, 9
64, 190123, 5570, 199421, 579, 3728, 572, 7
65, 189535, 5966, 199416, 584, 3915, 578, 6
66, 188923, 6363, 199391, 609, 4105, 602, 7
67, 188322, 6756, 199385, 615, 4307, 603, 12
68, 187709, 7149, 199357, 643, 4499, 629, 14
69, 187104, 7542, 199360, 640, 4714, 624, 16
70, 186503, 7935, 199360, 640, 4922, 624, 16
71, 185891, 8327, 199360, 640, 5142, 623, 17
72, 185277, 8715, 199346, 654, 5354, 631, 23
73, 184657, 9110, 199329, 671, 5562, 649, 22
74, 183999, 9504, 199285, 715, 5782, 695, 20
75, 183370, 9897, 199275, 725, 6008, 707, 18
76, 182720, 10283, 199236, 764, 6233, 739, 25
77, 182089, 10668, 199254, 746, 6497, 716, 30
78, 181447, 11058, 199238, 762, 6733, 731, 31
79, 180808, 11447, 199252, 748, 6997, 718, 30
80, 180173, 11832, 199248, 752, 7243, 722, 30
81, 179544, 12220, 199259, 741, 7495, 710, 31
82, 178885, 12609, 199239, 761, 7745, 729, 32
83, 178229, 12997, 199221, 779, 7995, 747, 32
84, 177569, 13383, 199188, 812, 8236, 776, 36
85, 176885, 13771, 199162, 838, 8506, 801, 37
86, 176196, 14153, 199123, 877, 8774, 834, 43
87, 175524, 14537, 199109, 891, 9048, 847, 44
88, 174829, 14929, 199102, 898, 9344, 857, 41
89, 174151, 15307, 199109, 891, 9651, 846, 45
90, 173478, 15695, 199112, 888, 9939, 848, 40
91, 172792, 16080, 199114, 886, 10242, 840, 46
92, 172128, 16467, 199137, 863, 10542, 825, 38
93, 171448, 16850, 199125, 875, 10827, 832, 43
94, 170760, 17237, 199125, 875, 11128, 838, 37
95, 170050, 17617, 199072, 928, 11405, 883, 45
96, 169345, 17999, 199046, 954, 11702, 906, 48
97, 168636, 18378, 199017, 983, 12003, 928, 55
98, 167914, 18758, 199005, 995, 12333, 939, 56
99, 167207, 19127, 198990, 1010, 12656, 940, 70
100, 166491, 19501, 198978, 1022, 12986, 946, 76
101, 165774, 19869, 198971, 1029, 13328, 942, 87
102, 165079, 20235, 198980, 1020, 13666, 932, 88
103, 164384, 20612, 199004, 996, 14008, 910, 86
104, 163682, 20985, 199024, 976, 14357, 898, 78
105, 162998, 21365, 199049, 951, 14686, 885, 66
106, 162324, 21732, 199060, 940, 15004, 865, 75
107, 161683, 22102, 199118, 882, 15333, 805, 77
108, 161020, 22468, 199125, 875, 15637, 785, 90
109, 160344, 22846, 199134, 866, 15944, 787, 79
110, 159676, 23225, 199116, 884, 16215, 811, 73
111, 159031, 23594, 199137, 863, 16512, 794, 69
112, 158403, 23969, 199182, 818, 16810, 749, 69
113, 157762, 24339, 199200, 800, 17099, 722, 78
114, 157111, 24715, 199201, 799, 17375, 725, 74
115, 156484, 25095, 199207, 793, 17628, 724, 69
116, 155842, 25467, 199208, 792, 17899, 724, 68
117, 155227, 25841, 199242, 758, 18174, 687, 71
118, 154575, 26210, 199206, 794, 18421, 710, 84
119, 153920, 26590, 199201, 799, 18691, 726, 73
120, 153277, 26958, 199167, 833, 18932, 751, 82
121, 152644, 27336, 199195, 805, 19215, 733, 72
122, 152019, 27709, 199218, 782, 19490, 706, 76
123, 151398, 28082, 199245, 755, 19765, 684, 71
124, 150761, 28446, 199227, 773, 20020, 685, 88
125, 150094, 28826, 199192, 808, 20272, 727, 81
126, 149466, 29192, 199178, 822, 20520, 734, 88
127, 148837, 29564, 199194, 806, 20793, 726, 80
128, 148200, 29940, 199220, 780, 21080, 697, 83
129, 147574, 30310, 199226, 774, 21342, 694, 80
130, 146978, 30677, 199254, 746, 21599, 662, 84
131, 146360, 31052, 199272, 728, 21860, 641, 87
132, 145765, 31422, 199303, 697, 22116, 610, 87
133, 145177, 31794, 199316, 684, 22345, 606, 78
134, 144617, 32167, 199372, 628, 22588, 547, 81
135, 144029, 32548, 199390, 610, 22813, 538, 72
136, 143453, 32919, 199401, 599, 23029, 528, 71
137, 142887, 33294, 199397, 603, 23216, 536, 67
138, 142304, 33679, 199406, 594, 23423, 530, 64
139, 141733, 34049, 199410, 590, 23628, 522, 68
140, 141165, 34422, 199406, 594, 23819, 528, 66
141, 140594, 34800, 199411, 589, 24017, 516, 73
142, 140052, 35180, 199450, 550, 24218, 485, 65
143, 139515, 35549, 199477, 523, 24413, 450, 73
144, 138981, 35928, 199515, 485, 24606, 414, 71
145, 138448, 36312, 199528, 472, 24768, 407, 65
146, 137919, 36680, 199535, 465, 24936, 399, 66
147, 137405, 37066, 199562, 438, 25091, 382, 56
148, 136890, 37444, 199574, 426, 25240, 362, 64
149, 136386, 37817, 199604, 396, 25401, 338, 58
150, 135878, 38197, 199604, 396, 25529, 331, 65
151, 135381, 38568, 199615, 385, 25666, 312, 73
152, 134878, 38952, 199627, 373, 25797, 309, 64
153, 134395, 39332, 199652, 348, 25925, 285, 63
154, 133908, 39717, 199676, 324, 26051, 276, 48
155, 133429, 40100, 199699, 301, 26170, 253, 48
156, 132952, 40486, 199711, 289, 26273, 246, 43
157, 132480, 40872, 199727, 273, 26375, 229, 44
158, 132013, 41259, 199743, 257, 26471, 219, 38
159, 131542, 41645, 199749, 251, 26562, 213, 38
160, 131076, 42030, 199754, 246, 26648, 205, 41
161, 130621, 42415, 199764, 236, 26728, 192, 44
162, 130159, 42803, 199775, 225, 26813, 184, 41
163, 129698, 43193, 199785, 215, 26894, 180, 35
164, 129254, 43577, 199795, 205, 26964, 170, 35
165, 128811, 43966, 199815, 185, 27038, 150, 35
166, 128366, 44354, 199829, 171, 27109, 133, 38
167, 127928, 44738, 199835, 165, 27169, 126, 39
168, 127495, 45128, 199846, 154, 27223, 117, 37
169, 127069, 45519, 199868, 132, 27280, 98, 34
170, 126644, 45909, 199887, 113, 27334, 84, 29
171, 126221, 46291, 199889, 111, 27377, 74, 37
172, 125786, 46687, 199885, 115, 27412, 83, 32
173, 125356, 47077, 199880, 120, 27447, 88, 32
174, 124923, 47469, 199880, 120, 27488, 100, 20
175, 124498, 47855, 199880, 120, 27527, 90, 30
176, 124066, 48250, 199883, 117, 27567, 92, 25
