Timestep, S, V, S+V, I+VI, R, I, VI
122, 160989, 28261, 199753, 247, 10503, 213, 34
123, 160523, 28653, 199766, 234, 10590, 201, 33
124, 160063, 29047, 199785, 215, 10675, 188, 27
125, 159606, 29439, 199795, 205, 10750, 183, 22
126, 159145, 29834, 199803, 197, 10824, 178, 19
127, 158683, 30218, 199791, 209, 10890, 182, 27
128, 158226, 30608, 199789, 211, 10955, 181, 30
129, 157776, 30996, 199793, 207, 11021, 170, 37
130, 157321, 31389, 199809, 191, 11099, 163, 28
131, 156874, 31785, 199825, 175, 11166, 153, 22
132, 156428, 32176, 199832, 168, 11228, 149, 19
133, 155979, 32563, 199832, 168, 11290, 142, 26
134, 155532, 32957, 199830, 170, 11341, 143, 27
135, 155095, 33350, 199841, 159, 11396, 135, 24
136, 154658, 33742, 199858, 142, 11458, 124, 18
137, 154221, 34136, 199868, 132, 11511, 113, 19
138, 153792, 34528, 199875, 125, 11555, 104, 21
139, 153359, 34925, 199884, 116, 11600, 100, 16
140, 152928, 35320, 199891, 109, 11643, 93, 16
141, 152506, 35715, 199901, 99, 11680, 86, 13
142, 152086, 36113, 199915, 85, 11716, 73, 12
143, 151660, 36511, 199923, 77, 11752, 68, 9
144, 151251, 36908, 199938, 62, 11779, 55, 7
145, 150836, 37305, 199942, 58, 11801, 50, 8
146, 150416, 37702, 199947, 53, 11829, 45, 8
147, 150003, 38099, 199943, 57, 11841, 48, 9
148, 149588, 38496, 199943, 57, 11859, 48, 9
149, 149171, 38891, 199944, 56, 11882, 45, 11
150, 148753, 39288, 199939, 61, 11898, 50, 11
151, 148339, 39685, 199940, 60, 11916, 49, 11
152, 147923, 40084, 199945, 55, 11938, 48, 7
153, 147507, 40481, 199947, 53, 11959, 46, 7
154, 147092, 40879, 199947, 53, 11976, 47, 6
155, 146679, 41274, 199946, 54, 11993, 44, 10
156, 146267, 41673, 199952, 48, 12012, 40, 8
157, 145859, 42069, 199957, 43, 12029, 34, 9
158, 145440, 42467, 199954, 46, 12047, 40, 6
159, 145032, 42864, 199956, 44, 12060, 36, 8
160, 144625, 43262, 199959, 41, 12072, 34, 7
161, 144214, 43659, 199966, 34, 12093, 26, 8
162, 143802, 44059, 199965, 35, 12104, 30, 5
163, 143394, 44458, 199965, 35, 12113, 31, 4
164, 142983, 44854, 199964, 36, 12127, 31, 5
165, 142573, 45254, 199966, 34, 12139, 29, 5
166, 142169, 45651, 199968, 32, 12148, 25, 7
167, 141763, 46049, 199975, 25, 12163, 20, 5
168, 141361, 46448, 199982, 18, 12173, 12, 6
169, 140960, 46846, 199986, 14, 12180, 9, 5
170, 140557, 47242, 199987, 13, 12188, 6, 7
171, 140151, 47642, 199984, 16, 12191, 10, 6
172, 139748, 48042, 199984, 16, 12194, 12, 4
173, 139342, 48442, 199985, 15, 12201, 15, 0
174, 138938, 48841, 199986, 14, 12207, 13, 1
175, 138536, 49240, 199986, 14, 12210, 12, 2
176, 138132, 49638, 199986, 14, 12216, 10, 4
177, 137729, 50037, 199987, 13, 12221, 9, 4
178, 137326, 50437, 199987, 13, 12224, 10, 3
179, 136918, 50836, 199984, 16, 12230, 14, 2
180, 136515, 51234, 199983, 17, 12234, 14, 3
181, 136112, 51634, 199983, 17, 12237, 14, 3
182, 135707, 52032, 199985, 15, 12246, 11, 4
183, 135303, 52431, 199985, 15, 12251, 12, 3
184, 134898, 52829, 199981, 19, 12254, 14, 5
185, 134490, 53226, 199977, 23, 12261, 17, 6
186, 134084, 53624, 199974, 26, 12266, 19, 7
187, 133681, 54023, 199977, 23, 12273, 17, 6
188, 133275, 54421, 199980, 20, 12284, 15, 5
189, 132868, 54819, 199979, 21, 12292, 16, 5
190, 132465, 55216, 199977, 23, 12296, 16, 7
191, 132062, 55614, 199980, 20, 12304, 13, 7
192, 131660, 56012, 199985, 15, 12313, 8, 7
193, 131258, 56411, 199988, 12, 12319, 8, 4
194, 130857, 56811, 199992, 8, 12324, 5, 3
195, 130457, 57210, 199995, 5, 12328, 3, 2
196, 130057, 57610, 199998, 2, 12331, 1, 1
197, 129656, 58010, 199998, 2, 12332, 1, 1
198, 129255, 58410, 199998, 2, 12333, 2, 0
199, 128853, 58810, 199996, 4, 12333, 4, 0
200, 128451, 59210, 199995, 5, 12334, 5, 0
201, 128051, 59609, 199995, 5, 12335, 4, 1
202, 127648, 60009, 199994, 6, 12337, 5, 1
203, 127247, 60409, 199995, 5, 12339, 4, 1
204, 126847, 60809, 199996, 4, 12340, 4, 0
205, 126447, 61209, 199999, 1, 12343, 1, 0
206, 126046, 61609, 199999, 1, 12344, 1, 0
207, 125646, 62009, 199999, 1, 12344, 1, 0
208, 125245, 62408, 199997, 3, 12344, 2, 1
209, 124844, 62808, 199997, 3, 12345, 2, 1
210, 124444, 63207, 199996, 4, 12345, 2, 2
211, 124043, 63607, 199997, 3, 12347, 2, 1
212, 123643, 64007, 199998, 2, 12348, 1, 1
213, 123243, 64407, 199999, 1, 12349, 1, 0
214, 122842, 64806, 199998, 2, 12350, 1, 1
215, 122440, 65206, 199996, 4, 12350, 3, 1
216, 122039, 65606, 199995, 5, 12350, 4, 1
217, 121639, 66006, 199997, 3, 12352, 3, 0
218, 121239, 66406, 199999, 1, 12354, 1, 0
219, 120839, 66805, 199999, 1, 12355, 0, 1
220, 120439, 67205, 199999, 1, 12355, 0, 1
221, 120039, 67605, 199999, 1, 12355, 0, 1
222, 119639, 68005, 200000, 0, 12356, 0, 0
223, 119239, 68405, 200000, 0, 12356, 0, 0
224, 118839, 68805, 200000, 0, 12356, 0, 0
225, 118439, 69205, 200000, 0, 12356, 0, 0
226, 118039, 69605, 200000, 0, 12356, 0, 0
