Timestep, S, V, S+V, I+VI, R, I, VI
1, 199992, 0, 199992, 8, 0, 8, 0
2, 199989, 0, 199989, 11, 0, 11, 0
3, 199983, 0, 199983, 17, 0, 17, 0
4, 199970, 0, 199978, 22, 8, 22, 0
5, 199950, 0, 199961, 39, 11, 39, 0
6, 199926, 0, 199943, 57, 17, 57, 0
7, 199904, 0, 199934, 66, 30, 66, 0
8, 199879, 0, 199929, 71, 50, 71, 0
9, 199851, 0, 199925, 75, 74, 75, 0
10, 199826, 0, 199922, 78, 96, 78, 0
11, 199794, 0, 199915, 85, 121, 85, 0
12, 199757, 0, 199906, 94, 149, 94, 0
13, 199735, 0, 199909, 91, 174, 91, 0
14, 199699, 0, 199905, 95, 206, 95, 0
15, 199671, 0, 199914, 86, 243, 86, 0
16, 199637, 0, 199902, 98, 265, 98, 0
17, 199593, 0, 199894, 106, 301, 106, 0
18, 199546, 0, 199875, 125, 329, 125, 0
19, 199508, 0, 199871, 129, 363, 129, 0
20, 199464, 0, 199871, 129, 407, 129, 0
21, 199418, 0, 199872, 128, 454, 128, 0
22, 199374, 0, 199866, 134, 492, 134, 0
23, 199325, 0, 199861, 139, 536, 139, 0
24, 199270, 0, 199852, 148, 582, 148, 0
25, 199221, 0, 199847, 153, 626, 153, 0
26, 199171, 0, 199846, 154, 675, 154, 0
27, 199109, 0, 199839, 161, 730, 161, 0
28, 199045, 0, 199824, 176, 779, 176, 0
29, 198985, 0, 199814, 186, 829, 186, 0
30, 198920, 0, 199811, 189, 891, 189, 0
31, 198859, 0, 199814, 186, 955, 186, 0
32, 198809, 0, 199824, 176, 1015, 176, 0
33, 198739, 0, 199819, 181, 1080, 181, 0
34, 198677, 0, 199818, 182, 1141, 182, 0
35, 198607, 0, 199798, 202, 1191, 202, 0
36, 198524, 0, 199785, 215, 1261, 215, 0
37, 198440, 0, 199763, 237, 1323, 237, 0
38, 198355, 0, 199748, 252, 1393, 252, 0
39, 198269, 0, 199745, 255, 1476, 255, 0
40, 198174, 0, 199734, 266, 1560, 266, 0
41, 198064, 0, 199709, 291, 1645, 291, 0
42, 197948, 0, 199679, 321, 1731, 321, 0
43, 197823, 0, 199649, 351, 1826, 351, 0
44, 197705, 0, 199641, 359, 1936, 359, 0
45, 197572, 0, 199624, 376, 2052, 376, 0
46, 197439, 0, 199616, 384, 2177, 384, 0
47, 197317, 0, 199612, 388, 2295, 388, 0
48, 197165, 0, 199593, 407, 2428, 407, 0
49, 197021, 0, 199582, 418, 2561, 418, 0
50, 196876, 0, 199559, 441, 2683, 441, 0
51, 196333, 399, 199567, 433, 2835, 432, 1
52, 195807, 798, 199584, 416, 2979, 414, 2
53, 195270, 1197, 199591, 409, 3124, 407, 2
54, 194718, 1594, 199580, 420, 3268, 415, 5
55, 194176, 1991, 199562, 438, 3395, 433, 5
56, 193616, 2387, 199536, 464, 3533, 457, 7
57, 193067, 2785, 199540, 460, 3688, 456, 4
58, 192519, 3185, 199537, 463, 3833, 459, 4
59, 191961, 3582, 199540, 460, 3997, 455, 5
60, 191402, 3974, 199524, 476, 4148, 465, 11
61, 190832, 4367, 199495, 505, 4296, 490, 15
62, 190291, 4758, 199506, 494, 4457, 474, 20
63, 189736, 5144, 199504, 496, 4624, 471, 25
64, 189135, 5533, 199469, 531, 4801, 500, 31
65, 188536, 5925, 199412, 588, 4951, 561, 27
66, 187919, 6311, 199350, 650, 5120, 618, 32
67, 187322, 6698, 199352, 648, 5332, 615, 33
68, 186706, 7091, 199336, 664, 5539, 633, 31
69, 186113, 7476, 199359, 641, 5770, 610, 31
70, 185486, 7864, 199330, 670, 5980, 638, 32
71, 184875, 8246, 199324, 676, 6203, 635, 41
72, 184239, 8639, 199289, 711, 6411, 679, 32
73, 183600, 9021, 199271, 729, 6650, 689, 40
74, 182962, 9402, 199243, 757, 6879, 716, 41
75, 182341, 9786, 199249, 751, 7122, 704, 47
76, 181685, 10168, 199232, 768, 7379, 719, 49
77, 181039, 10547, 199222, 778, 7636, 728, 50
78, 180408, 10927, 199208, 792, 7873, 741, 51
79, 179753, 11304, 199204, 796, 8147, 740, 56
80, 179085, 11680, 199179, 821, 8414, 758, 63
81, 178411, 12062, 199138, 862, 8665, 801, 61
82, 177731, 12433, 199107, 893, 8943, 824, 69
83, 177056, 12808, 199099, 901, 9235, 833, 68
84, 176370, 13185, 199082, 918, 9527, 845, 73
85, 175650, 13549, 199035, 965, 9836, 884, 81
86, 174954, 13921, 199011, 989, 10136, 905, 84
87, 174252, 14289, 198986, 1014, 10445, 924, 90
88, 173497, 14660, 198958, 1042, 10801, 957, 85
89, 172797, 15019, 198941, 1059, 11125, 959, 100
90, 172067, 15393, 198919, 1081, 11459, 987, 94
91, 171346, 15748, 198937, 1063, 11843, 954, 109
92, 170579, 16104, 198867, 1133, 12184, 1023, 110
93, 169822, 16447, 198809, 1191, 12540, 1054, 137
94, 169056, 16799, 198761, 1239, 12906, 1095, 144
95, 168289, 17168, 198774, 1226, 13317, 1096, 130
96, 167522, 17523, 198776, 1224, 13731, 1103, 121
97, 166762, 17882, 198789, 1211, 14145, 1096, 115
98, 165984, 18244, 198771, 1229, 14543, 1106, 123
99, 165212, 18599, 198766, 1234, 14955, 1113, 121
100, 164473, 18946, 198775, 1225, 15356, 1097, 128
101, 163699, 19283, 198754, 1246, 15772, 1095, 151
102, 162904, 19613, 198706, 1294, 16189, 1117, 177
103, 162101, 19954, 198636, 1364, 16581, 1179, 185
104, 161279, 20294, 198591, 1409, 17018, 1224, 185
105, 160466, 20625, 198574, 1426, 17483, 1242, 184
106, 159636, 20966, 198547, 1453, 17945, 1268, 185
107, 158808, 21286, 198521, 1479, 18427, 1278, 201
108, 157946, 21596, 198451, 1549, 18909, 1332, 217
109, 157104, 21907, 198409, 1591, 19398, 1348, 243
110, 156224, 22240, 198370, 1630, 19906, 1397, 233
111, 155320, 22546, 198324, 1676, 20458, 1434, 242
112, 154385, 22861, 198235, 1765, 20989, 1529, 236
113, 153448, 23158, 198142, 1858, 21536, 1586, 272
114, 152499, 23470, 198103, 1897, 22134, 1631, 266
115, 151553, 23750, 198057, 1943, 22754, 1644, 299
116, 150571, 24040, 198005, 1995, 23394, 1689, 306
117, 149596, 24333, 197960, 2040, 24031, 1716, 324
118, 148589, 24608, 197894, 2106, 24697, 1777, 329
119, 147578, 24878, 197845, 2155, 25389, 1805, 350
120, 146531, 25153, 197755, 2245, 26071, 1877, 368
121, 145520, 25412, 197735, 2265, 26803, 1876, 389
122, 144493, 25693, 197730, 2270, 27544, 1890, 380
123, 143458, 25956, 197730, 2270, 28316, 1882, 388
124, 142444, 26226, 197738, 2262, 29068, 1887, 375
125, 141420, 26463, 197697, 2303, 29814, 1881, 422
126, 140336, 26707, 197629, 2371, 30586, 1930, 441
127, 139217, 26952, 197499, 2501, 31330, 2040, 461
128, 138149, 27179, 197445, 2555, 32117, 2085, 470
129, 137060, 27403, 197420, 2580, 32957, 2093, 487
130, 135957, 27647, 197435, 2565, 33831, 2079, 486
131, 134862, 27850, 197384, 2616, 34672, 2111, 505
132, 133761, 28055, 197353, 2647, 35537, 2113, 534
133, 132640, 28271, 197307, 2693, 36396, 2133, 560
134, 131503, 28468, 197259, 2741, 37288, 2174, 567
135, 130343, 28662, 197189, 2811, 38184, 2232, 579
136, 129176, 28883, 197148, 2852, 39089, 2276, 576
137, 128013, 29093, 197135, 2865, 40029, 2298, 567
138, 126849, 29260, 197104, 2896, 40995, 2303, 593
139, 125708, 29427, 197076, 2924, 41941, 2283, 641
140, 124532, 29602, 197028, 2972, 42894, 2302, 670
141, 123360, 29778, 197029, 2971, 43891, 2309, 662
142, 122170, 29973, 197008, 2992, 44865, 2357, 635
143, 120996, 30139, 197001, 2999, 45866, 2354, 645
144, 119885, 30289, 197036, 2964, 46862, 2290, 674
145, 118748, 30435, 197040, 2960, 47857, 2242, 718
146, 117597, 30613, 197075, 2925, 48865, 2214, 711
