Timestep, S, V, S+V, I+VI, R, I, VI
122, 166972, 28720, 199958, 42, 4266, 41, 1
123, 166559, 29120, 199958, 42, 4279, 41, 1
124, 166151, 29519, 199969, 31, 4299, 30, 1
125, 165743, 29918, 199969, 31, 4308, 29, 2
126, 165340, 30317, 199978, 22, 4321, 19, 3
127, 164937, 30717, 199984, 16, 4330, 14, 2
128, 164535, 31116, 199990, 10, 4339, 8, 2
129, 164131, 31516, 199990, 10, 4343, 9, 1
130, 163727, 31916, 199989, 11, 4346, 10, 1
131, 163325, 32316, 199990, 10, 4349, 10, 0
132, 162922, 32716, 199991, 9, 4353, 9, 0
133, 162521, 33115, 199993, 7, 4357, 7, 0
134, 162116, 33515, 199990, 10, 4359, 10, 0
135, 161710, 33914, 199986, 14, 4362, 13, 1
136, 161308, 34313, 199985, 15, 4364, 13, 2
137, 160900, 34713, 199982, 18, 4369, 16, 2
138, 160497, 35112, 199985, 15, 4376, 13, 2
139, 160095, 35511, 199985, 15, 4379, 13, 2
140, 159691, 35911, 199989, 11, 4387, 10, 1
141, 159288, 36311, 199990, 10, 4391, 9, 1
142, 158888, 36711, 199993, 7, 4394, 7, 0
143, 158485, 37111, 199994, 6, 4398, 6, 0
144, 158084, 37511, 199996, 4, 4401, 4, 0
145, 157683, 37911, 199995, 5, 4401, 5, 0
146, 157283, 38310, 199997, 3, 4404, 2, 1
147, 156882, 38710, 199997, 3, 4405, 2, 1
148, 156480, 39110, 199996, 4, 4406, 3, 1
149, 156078, 39510, 199995, 5, 4407, 5, 0
150, 155678, 39910, 199996, 4, 4408, 4, 0
151, 155277, 40310, 199997, 3, 4410, 3, 0
152, 154876, 40710, 199998, 2, 4412, 2, 0
153, 154476, 41110, 199998, 2, 4412, 2, 0
154, 154074, 41510, 199997, 3, 4413, 3, 0
155, 153674, 41910, 199998, 2, 4414, 2, 0
156, 153272, 42310, 199996, 4, 4414, 4, 0
157, 152871, 42710, 199997, 3, 4416, 3, 0
158, 152467, 43110, 199993, 7, 4416, 7, 0
159, 152065, 43510, 199993, 7, 4418, 7, 0
160, 151663, 43910, 199992, 8, 4419, 8, 0
161, 151259, 44310, 199992, 8, 4423, 8, 0
162, 150856, 44710, 199991, 9, 4425, 9, 0
163, 150452, 45110, 199989, 11, 4427, 11, 0
164, 150049, 45510, 199990, 10, 4431, 10, 0
165, 149647, 45909, 199990, 10, 4434, 9, 1
166, 149245, 46309, 199992, 8, 4438, 7, 1
167, 148842, 46708, 199991, 9, 4441, 7, 2
168, 148442, 47107, 199993, 7, 4444, 5, 2
169, 148041, 47507, 199994, 6, 4446, 4, 2
170, 147639, 47907, 199996, 4, 4450, 3, 1
171, 147239, 48307, 199997, 3, 4451, 3, 0
172, 146838, 48707, 199997, 3, 4452, 3, 0
173, 146437, 49107, 199998, 2, 4454, 2, 0
174, 146037, 49507, 199998, 2, 4454, 2, 0
175, 145636, 49907, 199998, 2, 4455, 2, 0
176, 145236, 50307, 199999, 1, 4456, 1, 0
177, 144835, 50707, 199998, 2, 4456, 2, 0
178, 144435, 51107, 199999, 1, 4457, 1, 0
179, 144034, 51507, 199998, 2, 4457, 2, 0
180, 143634, 51907, 199999, 1, 4458, 1, 0
