Timestep, S, V, S+V, I+VI, R, I, VI
1, 199993, 0, 199993, 7, 0, 7, 0
2, 199988, 0, 199988, 12, 0, 12, 0
3, 199978, 0, 199978, 22, 0, 22, 0
4, 199964, 0, 199971, 29, 7, 29, 0
5, 199950, 0, 199962, 38, 12, 38, 0
6, 199930, 0, 199952, 48, 22, 48, 0
7, 199913, 0, 199949, 51, 36, 51, 0
8, 199885, 0, 199935, 65, 50, 65, 0
9, 199852, 0, 199922, 78, 70, 78, 0
10, 199821, 0, 199908, 92, 87, 92, 0
11, 199785, 0, 199900, 100, 115, 100, 0
12, 199746, 0, 199894, 106, 148, 106, 0
13, 199699, 0, 199878, 122, 179, 122, 0
14, 199657, 0, 199872, 128, 215, 128, 0
15, 199600, 0, 199854, 146, 254, 146, 0
16, 199541, 0, 199842, 158, 301, 158, 0
17, 199474, 0, 199817, 183, 343, 183, 0
18, 199418, 0, 199818, 182, 400, 182, 0
19, 199357, 0, 199816, 184, 459, 184, 0
20, 199295, 0, 199821, 179, 526, 179, 0
21, 199227, 0, 199809, 191, 582, 191, 0
22, 199153, 0, 199796, 204, 643, 204, 0
23, 199090, 0, 199795, 205, 705, 205, 0
24, 199018, 0, 199791, 209, 773, 209, 0
25, 198950, 0, 199797, 203, 847, 203, 0
26, 198883, 0, 199793, 207, 910, 207, 0
27, 198802, 0, 199784, 216, 982, 216, 0
28, 198728, 0, 199778, 222, 1050, 222, 0
29, 198645, 0, 199762, 238, 1117, 238, 0
30, 198553, 0, 199751, 249, 1198, 249, 0
31, 198466, 0, 199738, 262, 1272, 262, 0
32, 198369, 0, 199724, 276, 1355, 276, 0
33, 198282, 0, 199729, 271, 1447, 271, 0
34, 198175, 0, 199709, 291, 1534, 291, 0
35, 198082, 0, 199713, 287, 1631, 287, 0
36, 197976, 0, 199694, 306, 1718, 306, 0
37, 197867, 0, 199692, 308, 1825, 308, 0
38, 197752, 0, 199670, 330, 1918, 330, 0
39, 197632, 0, 199656, 344, 2024, 344, 0
40, 197481, 0, 199614, 386, 2133, 386, 0
