Timestep, S, V, S+V, I+VI, R, I, VI
1, 199992, 0, 199992, 8, 0, 8, 0
2, 199981, 0, 199981, 19, 0, 19, 0
3, 199973, 0, 199973, 27, 0, 27, 0
4, 199961, 0, 199969, 31, 8, 31, 0
5, 199948, 0, 199967, 33, 19, 33, 0
6, 199937, 0, 199964, 36, 27, 36, 0
7, 199929, 0, 199968, 32, 39, 32, 0
8, 199911, 0, 199963, 37, 52, 37, 0
9, 199902, 0, 199965, 35, 63, 35, 0
10, 199889, 0, 199960, 40, 71, 40, 0
11, 199869, 0, 199958, 42, 89, 42, 0
12, 199846, 0, 199944, 56, 98, 56, 0
13, 199821, 0, 199932, 68, 111, 68, 0
14, 199799, 0, 199930, 70, 131, 70, 0
15, 199765, 0, 199919, 81, 154, 81, 0
16, 199737, 0, 199916, 84, 179, 84, 0
17, 199706, 0, 199907, 93, 201, 93, 0
18, 199669, 0, 199904, 96, 235, 96, 0
19, 199644, 0, 199907, 93, 263, 93, 0
20, 199605, 0, 199899, 101, 294, 101, 0
21, 199558, 0, 199889, 111, 331, 111, 0
22, 199524, 0, 199880, 120, 356, 120, 0
23, 199491, 0, 199886, 114, 395, 114, 0
24, 199453, 0, 199895, 105, 442, 105, 0
25, 199412, 0, 199888, 112, 476, 112, 0
26, 199371, 0, 199880, 120, 509, 120, 0
27, 199334, 0, 199881, 119, 547, 119, 0
28, 199292, 0, 199880, 120, 588, 120, 0
29, 199236, 0, 199865, 135, 629, 135, 0
30, 199192, 0, 199858, 142, 666, 142, 0
31, 199137, 0, 199845, 155, 708, 155, 0
32, 199089, 0, 199853, 147, 764, 147, 0
33, 199035, 0, 199843, 157, 808, 157, 0
34, 198980, 0, 199843, 157, 863, 157, 0
35, 198925, 0, 199836, 164, 911, 164, 0
36, 198858, 0, 199823, 177, 965, 177, 0
37, 198799, 0, 199819, 181, 1020, 181, 0
38, 198736, 0, 199811, 189, 1075, 189, 0
39, 198671, 0, 199813, 187, 1142, 187, 0
40, 198597, 0, 199798, 202, 1201, 202, 0
41, 198530, 0, 199794, 206, 1264, 206, 0
42, 198460, 0, 199789, 211, 1329, 211, 0
43, 198389, 0, 199792, 208, 1403, 208, 0
44, 198315, 0, 199785, 215, 1470, 215, 0
45, 198246, 0, 199786, 214, 1540, 214, 0
46, 198185, 0, 199796, 204, 1611, 204, 0
47, 198120, 0, 199805, 195, 1685, 195, 0
48, 198051, 0, 199805, 195, 1754, 195, 0
49, 198000, 0, 199815, 185, 1815, 185, 0
50, 197935, 0, 199815, 185, 1880, 185, 0
51, 197462, 398, 199809, 191, 1949, 189, 2
52, 196996, 796, 199792, 208, 2000, 205, 3
53, 196526, 1196, 199787, 213, 2065, 211, 2
54, 196048, 1596, 199784, 216, 2140, 216, 0
55, 195581, 1996, 199785, 215, 2208, 215, 0
56, 195095, 2396, 199769, 231, 2278, 231, 0
57, 194628, 2792, 199776, 224, 2356, 221, 3
58, 194131, 3190, 199744, 256, 2423, 251, 5
59, 193646, 3588, 199743, 257, 2509, 251, 6
60, 193154, 3983, 199717, 283, 2580, 275, 8
61, 192661, 4378, 199718, 282, 2679, 271, 11
62, 192176, 4775, 199717, 283, 2766, 272, 11
63, 191669, 5175, 199707, 293, 2863, 287, 6
64, 191165, 5571, 199697, 303, 2961, 297, 6
65, 190662, 5967, 199678, 322, 3049, 315, 7
66, 190153, 6362, 199671, 329, 3156, 319, 10
67, 189628, 6757, 199649, 351, 3264, 341, 10
68, 189117, 7150, 199638, 362, 3371, 350, 12
69, 188592, 7541, 199618, 382, 3485, 367, 15
70, 188045, 7936, 199596, 404, 3615, 387, 17
71, 187519, 8332, 199584, 416, 3733, 401, 15
72, 186992, 8727, 199586, 414, 3867, 403, 11
73, 186467, 9119, 199605, 395, 4019, 381, 14
74, 185931, 9510, 199590, 410, 4149, 391, 19
75, 185388, 9899, 199568, 432, 4281, 405, 27
76, 184839, 10292, 199545, 455, 4414, 429, 26
77, 184300, 10685, 199544, 456, 4559, 432, 24
78, 183737, 11071, 199521, 479, 4713, 455, 24
79, 183177, 11457, 199503, 497, 4869, 465, 32
80, 182597, 11839, 199451, 549, 5015, 507, 42
81, 182011, 12219, 199422, 578, 5192, 528, 50
82, 181430, 12603, 199399, 601, 5366, 548, 53
83, 180853, 12983, 199400, 600, 5564, 545, 55
