Timestep, S, V, S+V, I+VI, R, I, VI
138, 134149, 34578, 199838, 162, 31111, 150, 12
139, 133716, 34977, 199864, 136, 31171, 128, 8
140, 133279, 35374, 199878, 122, 31225, 119, 3
141, 132852, 35770, 199895, 105, 31273, 100, 5
142, 132424, 36166, 199897, 103, 31307, 97, 6
143, 131989, 36566, 199902, 98, 31347, 92, 6
144, 131566, 36966, 199910, 90, 31378, 88, 2
145, 131135, 37364, 199909, 91, 31410, 89, 2
146, 130708, 37761, 199914, 86, 31445, 82, 4
147, 130288, 38159, 199915, 85, 31468, 80, 5
148, 129866, 38555, 199922, 78, 31501, 73, 5
149, 129451, 38954, 199936, 64, 31531, 60, 4
150, 129031, 39352, 199936, 64, 31553, 59, 5
151, 128618, 39751, 199948, 52, 31579, 49, 3
152, 128199, 40149, 199943, 57, 31595, 53, 4
153, 127781, 40548, 199946, 54, 31617, 52, 2
154, 127366, 40947, 199944, 56, 31631, 55, 1
155, 126952, 41346, 199950, 50, 31652, 50, 0
156, 126542, 41745, 199958, 42, 31671, 42, 0
157, 126132, 42145, 199964, 36, 31687, 36, 0
158, 125725, 42543, 199970, 30, 31702, 30, 0
159, 125318, 42940, 199971, 29, 31713, 28, 1
160, 124916, 43338, 199977, 23, 31723, 21, 2
161, 124514, 43736, 199982, 18, 31732, 15, 3
162, 124111, 44134, 199987, 13, 31742, 11, 2
163, 123705, 44533, 199984, 16, 31746, 15, 1
164, 123302, 44933, 199985, 15, 31750, 14, 1
165, 122898, 45332, 199985, 15, 31755, 14, 1
166, 122495, 45732, 199989, 11, 31762, 10, 1
167, 122095, 46131, 199991, 9, 31765, 8, 1
168, 121696, 46530, 199996, 4, 31770, 4, 0
169, 121295, 46930, 199998, 2, 31773, 2, 0
170, 120897, 47327, 199998, 2, 31774, 2, 0
171, 120498, 47726, 199998, 2, 31774, 2, 0
172, 120098, 48126, 199999, 1, 31775, 1, 0
173, 119699, 48525, 200000, 0, 31776, 0, 0
174, 119301, 48923, 200000, 0, 31776, 0, 0
175, 118901, 49323, 200000, 0, 31776, 0, 0
176, 118502, 49722, 200000, 0, 31776, 0, 0
177, 118104, 50120, 200000, 0, 31776, 0, 0
178, 117704, 50520, 200000, 0, 31776, 0, 0
179, 117305, 50919, 200000, 0, 31776, 0, 0
180, 116905, 51319, 200000, 0, 31776, 0, 0
181, 116505, 51719, 200000, 0, 31776, 0, 0
182, 116106, 52118, 200000, 0, 31776, 0, 0
183, 115707, 52517, 200000, 0, 31776, 0, 0
184, 115309, 52915, 200000, 0, 31776, 0, 0
185, 114910, 53314, 200000, 0, 31776, 0, 0
186, 114511, 53713, 200000, 0, 31776, 0, 0
187, 114112, 54112, 200000, 0, 31776, 0, 0
188, 113715, 54509, 200000, 0, 31776, 0, 0
189, 113316, 54908, 200000, 0, 31776, 0, 0
190, 112918, 55306, 200000, 0, 31776, 0, 0
191, 112518, 55706, 200000, 0, 31776, 0, 0
192, 112119, 56105, 200000, 0, 31776, 0, 0
193, 111719, 56505, 200000, 0, 31776, 0, 0
194, 111319, 56905, 200000, 0, 31776, 0, 0
195, 110919, 57305, 200000, 0, 31776, 0, 0
196, 110519, 57705, 200000, 0, 31776, 0, 0
197, 110120, 58104, 200000, 0, 31776, 0, 0
198, 109720, 58504, 200000, 0, 31776, 0, 0
199, 109320, 58904, 200000, 0, 31776, 0, 0
200, 108923, 59301, 200000, 0, 31776, 0, 0
201, 108523, 59701, 200000, 0, 31776, 0, 0
202, 108124, 60100, 200000, 0, 31776, 0, 0
203, 107724, 60500, 200000, 0, 31776, 0, 0
204, 107324, 60900, 200000, 0, 31776, 0, 0
205, 106925, 61299, 200000, 0, 31776, 0, 0
206, 106527, 61697, 200000, 0, 31776, 0, 0
207, 106128, 62096, 200000, 0, 31776, 0, 0
208, 105728, 62496, 200000, 0, 31776, 0, 0
209, 105328, 62896, 200000, 0, 31776, 0, 0
210, 104928, 63296, 200000, 0, 31776, 0, 0
211, 104528, 63696, 200000, 0, 31776, 0, 0
212, 104128, 64096, 200000, 0, 31776, 0, 0
213, 103730, 64494, 200000, 0, 31776, 0, 0
214, 103331, 64893, 200000, 0, 31776, 0, 0
215, 102932, 65292, 200000, 0, 31776, 0, 0
216, 102533, 65691, 200000, 0, 31776, 0, 0
217, 102135, 66089, 200000, 0, 31776, 0, 0
218, 101737, 66487, 200000, 0, 31776, 0, 0
219, 101337, 66887, 200000, 0, 31776, 0, 0
220, 100939, 67285, 200000, 0, 31776, 0, 0
221, 100540, 67684, 200000, 0, 31776, 0, 0
222, 100141, 68083, 200000, 0, 31776, 0, 0
