Timestep, S, V, S+V, I+VI, R, I, VI
1, 199993, 0, 199993, 7, 0, 7, 0
2, 199990, 0, 199990, 10, 0, 10, 0
3, 199983, 0, 199983, 17, 0, 17, 0
4, 199975, 0, 199982, 18, 7, 18, 0
5, 199970, 0, 199980, 20, 10, 20, 0
6, 199960, 0, 199977, 23, 17, 23, 0
7, 199946, 0, 199971, 29, 25, 29, 0
8, 199931, 0, 199961, 39, 30, 39, 0
9, 199908, 0, 199948, 52, 40, 52, 0
10, 199886, 0, 199940, 60, 54, 60, 0
11, 199855, 0, 199924, 76, 69, 76, 0
12, 199831, 0, 199923, 77, 92, 77, 0
13, 199797, 0, 199911, 89, 114, 89, 0
14, 199756, 0, 199901, 99, 145, 99, 0
15, 199725, 0, 199894, 106, 169, 106, 0
16, 199685, 0, 199888, 112, 203, 112, 0
17, 199644, 0, 199888, 112, 244, 112, 0
18, 199602, 0, 199877, 123, 275, 123, 0
19, 199569, 0, 199884, 116, 315, 116, 0
20, 199526, 0, 199882, 118, 356, 118, 0
21, 199484, 0, 199882, 118, 398, 118, 0
22, 199439, 0, 199870, 130, 431, 130, 0
23, 199401, 0, 199875, 125, 474, 125, 0
24, 199352, 0, 199868, 132, 516, 132, 0
25, 199297, 0, 199858, 142, 561, 142, 0
26, 199241, 0, 199840, 160, 599, 160, 0
27, 199159, 0, 199807, 193, 648, 193, 0
28, 199085, 0, 199788, 212, 703, 212, 0
29, 199004, 0, 199763, 237, 759, 237, 0
30, 198922, 0, 199763, 237, 841, 237, 0
31, 198844, 0, 199759, 241, 915, 241, 0
32, 198754, 0, 199750, 250, 996, 250, 0
33, 198677, 0, 199755, 245, 1078, 245, 0
34, 198585, 0, 199741, 259, 1156, 259, 0
35, 198497, 0, 199743, 257, 1246, 257, 0
36, 198399, 0, 199722, 278, 1323, 278, 0
37, 198306, 0, 199721, 279, 1415, 279, 0
38, 198195, 0, 199698, 302, 1503, 302, 0
39, 198091, 0, 199692, 308, 1601, 308, 0
40, 197984, 0, 199678, 322, 1694, 322, 0
41, 197872, 0, 199677, 323, 1805, 323, 0
42, 197757, 0, 199666, 334, 1909, 334, 0
43, 197643, 0, 199659, 341, 2016, 341, 0
44, 197537, 0, 199665, 335, 2128, 335, 0
45, 197443, 0, 199686, 314, 2243, 314, 0
46, 197330, 0, 199687, 313, 2357, 313, 0
47, 197210, 0, 199673, 327, 2463, 327, 0
48, 197094, 0, 199651, 349, 2557, 349, 0
49, 196970, 0, 199640, 360, 2670, 360, 0
50, 196841, 0, 199631, 369, 2790, 369, 0
51, 196315, 400, 199621, 379, 2906, 379, 0
52, 195792, 798, 199620, 380, 3030, 378, 2
53, 195264, 1198, 199621, 379, 3159, 377, 2
54, 194737, 1597, 199619, 381, 3285, 380, 1
55, 194196, 1990, 199596, 404, 3410, 400, 4
56, 193675, 2388, 199601, 399, 3538, 395, 4
57, 193137, 2786, 199589, 411, 3666, 407, 4
58, 192607, 3180, 199601, 399, 3814, 391, 8
59, 192079, 3577, 199593, 407, 3937, 398, 9
60, 191546, 3972, 199595, 405, 4077, 395, 10
61, 190992, 4369, 199574, 426, 4213, 418, 8
62, 190443, 4767, 199554, 446, 4344, 438, 8
63, 189890, 5163, 199535, 465, 4482, 457, 8
64, 189322, 5555, 199516, 484, 4639, 472, 12
65, 188752, 5954, 199496, 504, 4790, 492, 12
66, 188178, 6348, 199473, 527, 4947, 515, 12
67, 187621, 6743, 199487, 513, 5123, 505, 8
68, 187038, 7136, 199468, 532, 5294, 520, 12
69, 186471, 7528, 199473, 527, 5474, 514, 13
70, 185877, 7921, 199434, 566, 5636, 550, 16
71, 185296, 8314, 199436, 564, 5826, 547, 17
72, 184708, 8707, 199416, 584, 6001, 566, 18
73, 184134, 9098, 199434, 566, 6202, 547, 19
74, 183568, 9491, 199449, 551, 6390, 532, 19
75, 182998, 9883, 199466, 534, 6585, 513, 21
76, 182414, 10281, 199463, 537, 6768, 522, 15
77, 181827, 10675, 199443, 557, 6941, 541, 16
78, 181240, 11064, 199423, 577, 7119, 558, 19
79, 180663, 11456, 199424, 576, 7305, 552, 24
80, 180052, 11848, 199398, 602, 7498, 579, 23
81, 179453, 12232, 199381, 619, 7696, 591, 28
82, 178852, 12626, 199359, 641, 7881, 615, 26
83, 178264, 13023, 199387, 613, 8100, 590, 23
84, 177691, 13413, 199419, 581, 8315, 563, 18
85, 177104, 13798, 199424, 576, 8522, 551, 25
86, 176495, 14190, 199398, 602, 8713, 572, 30
87, 175903, 14576, 199375, 625, 8896, 592, 33
88, 175290, 14963, 199351, 649, 9098, 616, 33
89, 174663, 15354, 199332, 668, 9315, 636, 32
90, 174016, 15736, 199273, 727, 9521, 692, 35
91, 173385, 16116, 199248, 752, 9747, 712, 40
92, 172742, 16500, 199225, 775, 9983, 727, 48
93, 172105, 16887, 199240, 760, 10248, 716, 44
94, 171491, 17261, 199251, 749, 10499, 702, 47
95, 170878, 17641, 199277, 723, 10758, 672, 51
96, 170230, 18034, 199272, 728, 11008, 681, 47
97, 169651, 18422, 199321, 679, 11248, 643, 36
98, 169021, 18811, 199313, 687, 11481, 657, 30
99, 168442, 19192, 199370, 630, 11736, 591, 39
100, 167850, 19575, 199352, 648, 11927, 605, 43
101, 167256, 19957, 199381, 619, 12168, 573, 46
102, 166663, 20338, 199367, 633, 12366, 585, 48
103, 166066, 20723, 199364, 636, 12575, 588, 48
104, 165450, 21106, 199343, 657, 12787, 611, 46
105, 164862, 21488, 199349, 651, 12999, 605, 46
106, 164284, 21876, 199371, 629, 13211, 583, 46
107, 163700, 22262, 199406, 594, 13444, 553, 41
108, 163097, 22641, 199388, 612, 13650, 569, 43
109, 162518, 23017, 199375, 625, 13840, 571, 54
110, 161938, 23401, 199377, 623, 14038, 566, 57
111, 161332, 23789, 199383, 617, 14262, 569, 48
112, 160734, 24157, 199356, 644, 14465, 590, 54
113, 160140, 24541, 199342, 658, 14661, 603, 55
114, 159581, 24917, 199377, 623, 14879, 561, 62
115, 158982, 25301, 199392, 608, 15109, 556, 52
116, 158392, 25686, 199397, 603, 15319, 550, 53
117, 157801, 26062, 199365, 635, 15502, 582, 53
118, 157209, 26438, 199364, 636, 15717, 574, 62
119, 156606, 26816, 199344, 656, 15922, 587, 69
120, 155992, 27188, 199317, 683, 16137, 611, 72
121, 155403, 27561, 199317, 683, 16353, 607, 76
122, 154822, 27932, 199332, 668, 16578, 587, 81
123, 154224, 28304, 199348, 652, 16820, 572, 80
124, 153639, 28679, 199354, 646, 17036, 573, 73
125, 153063, 29061, 199370, 630, 17246, 565, 65
126, 152482, 29430, 199384, 616, 17472, 549, 67
127, 151913, 29799, 199394, 606, 17682, 530, 76
128, 151353, 30188, 199417, 583, 17876, 513, 70
129, 150794, 30559, 199441, 559, 18088, 492, 67
130, 150257, 30932, 199477, 523, 18288, 457, 66
131, 149704, 31318, 199481, 519, 18459, 452, 67
132, 149160, 31704, 199511, 489, 18647, 434, 55
133, 148623, 32087, 199521, 479, 18811, 435, 44
134, 148111, 32473, 199562, 438, 18978, 396, 42
135, 147593, 32853, 199582, 418, 19136, 370, 48
136, 147075, 33232, 199597, 403, 19290, 350, 53
137, 146561, 33613, 199590, 410, 19416, 353, 57
138, 146059, 33993, 199606, 394, 19554, 338, 56
139, 145556, 34380, 199629, 371, 19693, 323, 48
140, 145061, 34759, 199646, 354, 19826, 304, 50
141, 144562, 35147, 199657, 343, 19948, 302, 41
142, 144072, 35524, 199660, 340, 20064, 290, 50
143, 143580, 35912, 199672, 328, 20180, 287, 41
144, 143080, 36302, 199673, 327, 20291, 288, 39
145, 142577, 36688, 199669, 331, 20404, 299, 32
146, 142075, 37071, 199654, 346, 20508, 308, 38
147, 141580, 37455, 199653, 347, 20618, 303, 44
148, 141103, 37833, 199671, 329, 20735, 279, 50
149, 140624, 38217, 199695, 305, 20854, 254, 51
150, 140137, 38604, 199706, 294, 20965, 245, 49
151, 139658, 38986, 199708, 292, 21064, 246, 46
152, 139188, 39377, 199724, 276, 21159, 238, 38
153, 138719, 39752, 199730, 270, 21259, 223, 47
154, 138248, 40140, 199744, 256, 21356, 214, 42
155, 137787, 40529, 199751, 249, 21435, 204, 45
156, 137326, 40920, 199775, 225, 21529, 193, 32
157, 136872, 41308, 199792, 208, 21612, 176, 32
158, 136415, 41701, 199800, 200, 21684, 173, 27
159, 135964, 42090, 199808, 192, 21754, 163, 29
160, 135508, 42486, 199814, 186, 21820, 166, 20
161, 135060, 42880, 199824, 176, 21884, 156, 20
162, 134615, 43272, 199833, 167, 21946, 150, 17
163, 134171, 43661, 199838, 162, 22006, 137, 25
164, 133729, 44050, 199839, 161, 22060, 132, 29
165, 133299, 44434, 199846, 154, 22113, 120, 34
166, 132856, 44829, 199853, 147, 22168, 119, 28
167, 132426, 45219, 199866, 134, 22221, 107, 27
168, 131996, 45607, 199870, 130, 22267, 106, 24
169, 131555, 46000, 199870, 130, 22315, 106, 24
170, 131131, 46387, 199873, 127, 22355, 100, 27
171, 130700, 46779, 199876, 124, 22397, 99, 25
172, 130263, 47173, 199881, 119, 22445, 94, 25
173, 129830, 47567, 199879, 121, 22482, 101, 20
174, 129389, 47961, 199871, 129, 22521, 113, 16
175, 128955, 48352, 199871, 129, 22564, 110, 19
176, 128519, 48746, 199868, 132, 22603, 116, 16
177, 128088, 49139, 199877, 123, 22650, 104, 19
178, 127652, 49535, 199880, 120, 22693, 104, 16
179, 127228, 49929, 199892, 108, 22735, 93, 15
180, 126803, 50326, 199902, 98, 22773, 88, 10
181, 126383, 50720, 199916, 84, 22813, 73, 11
182, 125962, 51113, 199918, 82, 22843, 69, 13
183, 125537, 51507, 199915, 85, 22871, 68, 17
184, 125120, 51902, 199919, 81, 22897, 64, 17
185, 124699, 52300, 199924, 76, 22925, 64, 12
